Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,tamoxifen treatment,metformin treatment,insulin treatment,rna fraction,GEO Accession
SRR12539909,19531304,996096504,51,328,SRX9029611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280892,SAMN15931688,simple,10090,Mus musculus,GSM4751648,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsInk input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751659
SRR12539910,20032264,1021645464,51,330,SRX9029612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280894,SAMN15931687,simple,10090,Mus musculus,GSM4751649,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA UT input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751660
SRR12539911,20201668,1030285068,51,334,SRX9029613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280896,SAMN15931686,simple,10090,Mus musculus,GSM4751650,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Met input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751661
SRR12539912,8377941,418897050,50,130,SRX9029614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280895,SAMN15931685,simple,10090,Mus musculus,GSM4751651,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751662
SRR12539913,23196989,1183046439,51,373,SRX9029614,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280895,SAMN15931685,simple,10090,Mus musculus,GSM4751651,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751663
SRR12539914,21631637,1103213487,51,361,SRX9029615,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280897,SAMN15931684,simple,10090,Mus musculus,GSM4751652,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Ins input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751664
SRR12539915,7184897,359244850,50,111,SRX9029616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280899,SAMN15931683,simple,10090,Mus musculus,GSM4751653,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751665
SRR12539916,20237135,1032093885,51,327,SRX9029616,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280899,SAMN15931683,simple,10090,Mus musculus,GSM4751653,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751666
SRR12539917,20567642,1048949742,51,349,SRX9029617,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280898,SAMN15931682,simple,10090,Mus musculus,GSM4751654,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA InsMet input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751691
SRR12539918,20898825,1065840075,51,344,SRX9029618,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280901,SAMN15931737,simple,10090,Mus musculus,GSM4751655,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc UT input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751692
SRR12539919,20336154,1037143854,51,337,SRX9029619,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280900,SAMN15931736,simple,10090,Mus musculus,GSM4751656,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Met input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751693
SRR12539920,8575644,428782200,50,131,SRX9029620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280902,SAMN15931735,simple,10090,Mus musculus,GSM4751657,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751694
SRR12539921,23687731,1208074281,51,381,SRX9029620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280902,SAMN15931735,simple,10090,Mus musculus,GSM4751657,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751695
SRR12539922,22222562,1133350662,51,373,SRX9029621,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280903,SAMN15931734,simple,10090,Mus musculus,GSM4751658,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Ins input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751696
SRR12539923,8569539,428476950,50,132,SRX9029622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280904,SAMN15931733,simple,10090,Mus musculus,GSM4751659,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751697
SRR12539924,24111405,1229681655,51,390,SRX9029622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280904,SAMN15931733,simple,10090,Mus musculus,GSM4751659,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751698
SRR12539925,20087257,1024450107,51,341,SRX9029623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280905,SAMN15931732,simple,10090,Mus musculus,GSM4751660,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc InsMet input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A; Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751699
SRR12539926,21041503,1073116653,51,349,SRX9029624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280906,SAMN15931731,simple,10090,Mus musculus,GSM4751661,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc UT input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751700
SRR12539927,17207713,877593363,51,350,SRX9029625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280908,SAMN15931730,simple,10090,Mus musculus,GSM4751662,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Met input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751701
SRR12539928,8009047,400452350,50,121,SRX9029626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280907,SAMN15931729,simple,10090,Mus musculus,GSM4751663,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751702
SRR12539929,22205319,1132471269,51,356,SRX9029626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280907,SAMN15931729,simple,10090,Mus musculus,GSM4751663,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Ins input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751703
SRR12539930,23476078,1197279978,51,393,SRX9029627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280909,SAMN15931636,simple,10090,Mus musculus,GSM4751664,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Ins input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751704
SRR12539931,7406042,370302100,50,113,SRX9029628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280910,SAMN15931635,simple,10090,Mus musculus,GSM4751665,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751705
SRR12539932,20467890,1043862390,51,330,SRX9029628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280910,SAMN15931635,simple,10090,Mus musculus,GSM4751665,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751640
SRR12539933,14670192,748179792,51,304,SRX9029629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280911,SAMN15931634,simple,10090,Mus musculus,GSM4751666,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc InsMet input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751641
SRR12539966,21906644,1117238844,51,357,SRX9029630,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280912,SAMN15931705,simple,10090,Mus musculus,GSM4751691,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Ins poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751642
SRR12539967,10595155,540352905,51,153,SRX9029631,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280913,SAMN15931703,simple,10090,Mus musculus,GSM4751692,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751667
SRR12539968,23434177,1171708850,50,364,SRX9029631,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280913,SAMN15931703,simple,10090,Mus musculus,GSM4751692,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751668
SRR12539969,23319625,1189300875,51,391,SRX9029632,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280915,SAMN15931633,simple,10090,Mus musculus,GSM4751693,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc InsMet poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751669
SRR12539970,24552631,1252184181,51,399,SRX9029633,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280914,SAMN15931632,simple,10090,Mus musculus,GSM4751694,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc UT poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751670
SRR12539971,25585360,1304853360,51,415,SRX9029634,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280918,SAMN15931681,simple,10090,Mus musculus,GSM4751695,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Met poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751671
SRR12539972,8086304,412401504,51,118,SRX9029635,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280917,SAMN15931680,simple,10090,Mus musculus,GSM4751696,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Ampka1 fl/fl; Ampka2 fl/fl; AlbCreER,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751672
SRR12539973,17745494,887274700,50,275,SRX9029635,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280917,SAMN15931680,simple,10090,Mus musculus,GSM4751696,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751673
SRR12539974,24126104,1230431304,51,391,SRX9029636,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280916,SAMN15931679,simple,10090,Mus musculus,GSM4751697,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc Ins poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751674
SRR12539975,11253462,573926562,51,166,SRX9029637,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280919,SAMN15931678,simple,10090,Mus musculus,GSM4751698,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751675
SRR12539976,23820809,1191040450,50,370,SRX9029637,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280919,SAMN15931678,simple,10090,Mus musculus,GSM4751698,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751676
SRR12539977,22812115,1163417865,51,372,SRX9029638,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280920,SAMN15931677,simple,10090,Mus musculus,GSM4751699,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AATsc InsMet poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751677
SRR12539978,24564240,1252776240,51,400,SRX9029639,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280921,SAMN15931676,simple,10090,Mus musculus,GSM4751700,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk UT poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751678
SRR12539979,25319860,1291312860,51,414,SRX9029640,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280922,SAMN15931675,simple,10090,Mus musculus,GSM4751701,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Met poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751679
SRR12539980,2619543,133596693,51,57,SRX9029641,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280923,SAMN15931674,simple,10090,Mus musculus,GSM4751702,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751680
SRR12539981,21110659,1055532950,50,332,SRX9029641,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280923,SAMN15931674,simple,10090,Mus musculus,GSM4751702,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751681
SRR12539982,26466934,1349813634,51,433,SRX9029642,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280924,SAMN15931673,simple,10090,Mus musculus,GSM4751703,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk Ins poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751682
SRR12539983,2755746,140543046,51,60,SRX9029643,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280925,SAMN15931672,simple,10090,Mus musculus,GSM4751704,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751683
