Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,protocol,spike-in,media,strain background,genotype/variation,growth/culture condition,GEO Accession
SRR1919051,11800028,507401204,43,267,SRX959327,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876548,SAMN03433625,simple,4932,Saccharomyces cerevisiae,GSM1637648,GEO,SRA200635,06,2015,Pelechano,by_stat_p,by_stat_2_p,5 min CHX treatment; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541711
SRR1919052,18920465,813579995,43,407,SRX959328,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876547,SAMN03433630,simple,4932,Saccharomyces cerevisiae,GSM1637649,GEO,SRA200635,06,2015,Pelechano,rny1_ypd_p,rny1_ypd_1_p,5 min CHX treatment; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541712
SRR1919053,17922236,770656148,43,384,SRX959330,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876545,SAMN03433628,simple,4932,Saccharomyces cerevisiae,GSM1637650,GEO,SRA200635,06,2015,Pelechano,rny1_ypd_p,rny1_ypd_2_p,grown in SD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,SD complete,,,,GSM1541713
SRR1919054,17108855,735680765,43,355,SRX959331,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876552,SAMN03433624,simple,4932,Saccharomyces cerevisiae,GSM1637651,GEO,SRA200635,06,2015,Pelechano,rny1_H2O2_p,rny1_H2O2_1_p,grown in SD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,SD complete,,,,GSM1541714
SRR1919055,19276720,828898960,43,401,SRX959332,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876544,SAMN03433635,simple,4932,Saccharomyces cerevisiae,GSM1637652,GEO,SRA200635,06,2015,Pelechano,rny1_H2O2_p,rny1_H2O2_2_p,xrn1 deletion; same paired-end library in 3 lanes,xrn1delta,"MATa; xrn1delta::kanMX4, BY4741 background",5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541715
SRR1919056,31061985,1335665355,43,858,SRX959333,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876543,SAMN03433622,simple,4896,Schizosaccharomyces pombe,GSM1637653,GEO,SRA200635,06,2015,Pelechano,pomb_chxN,pomb_chx_1_p,xrn1 deletion; same paired-end library in 3 lanes,xrn1delta,"MATa; xrn1delta::kanMX4, BY4741 background",5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541716
SRR1919057,25849941,1111547463,43,721,SRX959334,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876542,SAMN03433631,simple,4896,Schizosaccharomyces pombe,GSM1637654,GEO,SRA200635,06,2015,Pelechano,pomb_chxN,pomb_chx_2_p,negative control; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541717
SRR1919058,26644786,1145725798,43,817,SRX959335,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876541,SAMN03433634,simple,4896,Schizosaccharomyces pombe,GSM1637655,GEO,SRA200635,06,2015,Pelechano,pomb_fraN,pomb_chx_1_f,negative control; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541718
SRR1919060,35974716,1546912788,43,1095,SRX959336,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876540,SAMN03433633,simple,4896,Schizosaccharomyces pombe,GSM1637656,GEO,SRA200635,06,2015,Pelechano,pomb_fraN,pomb_chx_2_f,negative control H2O2 stress; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541719
SRR1919061,15868099,682328257,43,462,SRX959337,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876539,SAMN03433629,simple,4932,Saccharomyces cerevisiae,GSM1637657,GEO,SRA200635,06,2015,Pelechano,by_ypd_r,by_ypd_1_r,negative control H2O2 stress; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq-fragmented,S. Pombe + IVTs,YPD,,,,GSM1541720
SRR1919062,15825484,680495812,43,462,SRX959337,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876539,SAMN03433629,simple,4932,Saccharomyces cerevisiae,GSM1637657,GEO,SRA200635,06,2015,Pelechano,by_ypd_r,by_ypd_1_r,pombe CHX treated; single-end read,h-,Schizosaccharomyces pombe (h-),5PSeq,IVTs,YES,,,,GSM1541721
SRR1919063,17809647,765814821,43,519,SRX959339,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876538,SAMN03433626,simple,4932,Saccharomyces cerevisiae,GSM1637658,GEO,SRA200635,06,2015,Pelechano,by_ypd_r,by_ypd_2_r,pombe CHX treated; single-end read,h-,Schizosaccharomyces pombe (h-),5PSeq,IVTs,YES,,,,GSM1541722
SRR1919064,17719637,761944391,43,518,SRX959339,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876538,SAMN03433626,simple,4932,Saccharomyces cerevisiae,GSM1637658,GEO,SRA200635,06,2015,Pelechano,by_ypd_r,by_ypd_2_r,no H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541723
SRR1919065,19798770,851347110,43,574,SRX959340,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876536,SAMN03433627,simple,4932,Saccharomyces cerevisiae,GSM1637659,GEO,SRA200635,06,2015,Pelechano,by_chx_r,by_chx_1_r,5 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541724
SRR1919066,19721470,848023210,43,573,SRX959340,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876536,SAMN03433627,simple,4932,Saccharomyces cerevisiae,GSM1637659,GEO,SRA200635,06,2015,Pelechano,by_chx_r,by_chx_1_r,30 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541725
SRR1919067,14289755,614459465,43,416,SRX959341,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876532,SAMN03433623,simple,4932,Saccharomyces cerevisiae,GSM1637660,GEO,SRA200635,06,2015,Pelechano,by_chx_r,by_chx_2_r,no H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541726
SRR1919068,14248223,612673589,43,415,SRX959341,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876532,SAMN03433623,simple,4932,Saccharomyces cerevisiae,GSM1637660,GEO,SRA200635,06,2015,Pelechano,by_chx_r,by_chx_2_r,5 min H2O2 stress + CHX at 4ºC; single-end read,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,IVTs,YPD,,,,GSM1541727
