Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,molecule,GEO Accession
SRR16913179,51789775,5009081139,35,1679,SRX13105607,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041852,SAMN23039143,simple,9606,Homo sapiens,GSM5685785,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.WT.3.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",Ribosome protected RNA fragments,GSM5685785
SRR16913180,60369087,5843083261,35,1981,SRX13105608,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041855,SAMN23039144,simple,9606,Homo sapiens,GSM5685786,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.WT.3.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",Ribosome protected RNA fragments,GSM5685786
SRR16913181,45869303,4433764392,35,1511,SRX13105609,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041854,SAMN23039145,simple,9606,Homo sapiens,GSM5685787,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.Y336F-KI.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,Y336F-KI,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",Ribosome protected RNA fragments,GSM5685787
SRR16913182,68934762,6665282786,35,2239,SRX13105610,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041856,SAMN23039146,simple,9606,Homo sapiens,GSM5685788,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.Y336F-KI.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,Y336F-KI,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",Ribosome protected RNA fragments,GSM5685788
SRR16913183,73851988,7143119493,35,2396,SRX13105611,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041857,SAMN23039147,simple,9606,Homo sapiens,GSM5685789,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.Y336F-KI.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,Y336F-KI,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",Ribosome protected RNA fragments,GSM5685789
SRR16913220,49760551,4901519053,49,1578,SRX13105648,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041894,SAMN23039128,simple,9606,Homo sapiens,GSM5685826,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set75.WT.3.PRO-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,,Nascent RNA fragments,GSM5685826
SRR16913221,40334334,3970172210,49,1282,SRX13105649,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041895,SAMN23039121,simple,9606,Homo sapiens,GSM5685827,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set75.TOP3B-KO1.PRO-seq.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,,Nascent RNA fragments,GSM5685827
SRR16913222,35882908,3529915314,49,1140,SRX13105650,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041896,SAMN23039122,simple,9606,Homo sapiens,GSM5685828,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set75.TDRD3-KO.PRO-seq.rep1,human colorectal carcinoma cell line,HCT116,TDRD3-KO,,Nascent RNA fragments,GSM5685828
SRR16913223,43237403,4259647091,49,1375,SRX13105651,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041897,SAMN23039123,simple,9606,Homo sapiens,GSM5685829,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set75.Y336F-KI.PRO-seq.rep1,human colorectal carcinoma cell line,HCT116,Y336F-KI,,Nascent RNA fragments,GSM5685829
SRR16913224,39511765,3951176500,50,1165,SRX13105652,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041898,SAMN23039124,simple,9606,Homo sapiens,GSM5685830,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set77.WT.3.PRO-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,,Nascent RNA fragments,GSM5685830
SRR16913225,40941197,4094119700,50,1212,SRX13105653,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041899,SAMN23039066,simple,9606,Homo sapiens,GSM5685831,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set77.TOP3B-KO1.PRO-seq.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,,Nascent RNA fragments,GSM5685831
SRR16913226,43782161,4378216100,50,1293,SRX13105654,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041900,SAMN23039068,simple,9606,Homo sapiens,GSM5685832,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set77.TDRD3-KO.PRO-seq.rep2,human colorectal carcinoma cell line,HCT116,TDRD3-KO,,Nascent RNA fragments,GSM5685832
SRR16913227,33251741,3325174100,50,983,SRX13105655,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041903,SAMN23039129,simple,9606,Homo sapiens,GSM5685833,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set77.Y336F-KI.PRO-seq.rep2,human colorectal carcinoma cell line,HCT116,Y336F-KI,,Nascent RNA fragments,GSM5685833
SRR16913228,14260333,713016650,50,261,SRX13105656,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041901,SAMN23039130,simple,9606,Homo sapiens,GSM5685834,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set33.WT.4.Input.rep1,human colorectal carcinoma cell line,HCT116,Wild type,,RNA fragments,GSM5685834
SRR16913229,18616138,930806900,50,337,SRX13105657,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041902,SAMN23039014,simple,9606,Homo sapiens,GSM5685835,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set33.TOP3B-KO1.Input.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,,RNA fragments,GSM5685835
SRR16913230,16063051,803152550,50,296,SRX13105658,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041904,SAMN23039060,simple,9606,Homo sapiens,GSM5685836,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set33.WT.TOP3B_eCLIP-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,,RNA fragments,GSM5685836
SRR16913231,15437124,771856200,50,285,SRX13105659,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041906,SAMN23039062,simple,9606,Homo sapiens,GSM5685837,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set33.TOP3B-KO1.TOP3B_eCLIP-seq.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,,RNA fragments,GSM5685837
SRR16913232,25996458,1299822900,50,588,SRX13105660,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041905,SAMN23039063,simple,9606,Homo sapiens,GSM5685838,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set36.WT.4.Input.rep2,human colorectal carcinoma cell line,HCT116,Wild type,,RNA fragments,GSM5685838
SRR16913233,25571052,1278552600,50,564,SRX13105661,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041907,SAMN23039064,simple,9606,Homo sapiens,GSM5685839,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set36.TOP3B-KO1.Input.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,,RNA fragments,GSM5685839
SRR16913234,15621236,781061800,50,354,SRX13105662,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041908,SAMN23039069,simple,9606,Homo sapiens,GSM5685840,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set36.WT.TOP3B_eCLIP-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,,RNA fragments,GSM5685840
SRR16913235,22966349,1148317450,50,520,SRX13105663,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041909,SAMN23039070,simple,9606,Homo sapiens,GSM5685841,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set36.TOP3B-KO1.TOP3B_eCLIP-seq.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,,RNA fragments,GSM5685841
