Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,ip antibody,genotype,treatment,geo_loc_name,collection_date,cell type
SRR23242370,37478448,4947155136,132,1702,SRX19188697,GSM6995347,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599437,SAMN32928176,simple,9606,Homo sapiens,GSM6995347,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_0h_A,HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242369,298936337,17648195106,59,6068,SRX19188698,GSM6995332,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599438,SAMN32928191,simple,6239,Caenorhabditis elegans,GSM6995332,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,NA,GCN-1-IP(Cele)_B_disome,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242368,564232579,37130601502,65,12612,SRX19188699,GSM6995333,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599439,SAMN32928190,simple,6239,Caenorhabditis elegans,GSM6995333,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,NA,Input(Cele)_A_disome,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242367,368034439,24200651024,65,8280,SRX19188700,GSM6995334,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599441,SAMN32928189,simple,6239,Caenorhabditis elegans,GSM6995334,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,NA,Input(Cele)_B_disome,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242366,37792384,4988594688,132,1705,SRX19188701,GSM6995335,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599440,SAMN32928188,simple,9606,Homo sapiens,GSM6995335,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_0h_A,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242364,15844118,2091423576,132,710,SRX19188702,GSM6995336,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599443,SAMN32928187,simple,9606,Homo sapiens,GSM6995336,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_0h_B,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242365,4390486,662963386,151,222,SRX19188702,GSM6995336,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599443,SAMN32928187,simple,9606,Homo sapiens,GSM6995336,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_0h_B,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242362,13874897,1831486404,132,618,SRX19188703,GSM6995337,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599442,SAMN32928186,simple,9606,Homo sapiens,GSM6995337,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_0h_C,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242363,4210654,635808754,151,211,SRX19188703,GSM6995337,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599442,SAMN32928186,simple,9606,Homo sapiens,GSM6995337,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_0h_C,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242361,38798818,5121443976,132,1727,SRX19188704,GSM6995338,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599444,SAMN32928185,simple,9606,Homo sapiens,GSM6995338,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_2h_A,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242359,2585399,341272668,132,116,SRX19188705,GSM6995339,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599445,SAMN32928184,simple,9606,Homo sapiens,GSM6995339,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_2h_B,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242360,21463575,3240999825,151,1068,SRX19188705,GSM6995339,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599445,SAMN32928184,simple,9606,Homo sapiens,GSM6995339,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_2h_B,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242358,44403455,5861256060,132,1988,SRX19188706,GSM6995356,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599446,SAMN32928167,simple,9606,Homo sapiens,GSM6995356,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_8h_A,whole organism,whole organism,NA,FLAG M2,3x-FLAG-GCN-1,NA,missing,missing,
SRR23242357,69853566,9220670712,132,3127,SRX19188707,GSM6995357,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599447,SAMN32928166,simple,9606,Homo sapiens,GSM6995357,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_8h_B,whole organism,whole organism,NA,FLAG M2,3x-FLAG-GCN-1,NA,missing,missing,
SRR23242356,42646513,5629339716,132,1924,SRX19188708,GSM6995358,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599448,SAMN32928165,simple,9606,Homo sapiens,GSM6995358,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_8h_C,whole organism,whole organism,NA,Input (Cele),3x-FLAG-GCN-1,NA,missing,missing,
SRR23242355,39161781,5169355092,132,1761,SRX19188709,GSM6995348,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599449,SAMN32928175,simple,9606,Homo sapiens,GSM6995348,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_0h_B,whole organism,whole organism,NA,Input (Cele),3x-FLAG-GCN-1,NA,missing,missing,
SRR23242354,45135968,5957947776,132,2025,SRX19188710,GSM6995349,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599450,SAMN32928174,simple,9606,Homo sapiens,GSM6995349,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_0h_C,whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR23242353,44604276,5887764432,132,2003,SRX19188711,GSM6995350,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599451,SAMN32928173,simple,9606,Homo sapiens,GSM6995350,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_2h_A,whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR23242352,48641772,6420713904,132,2229,SRX19188712,GSM6995351,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599452,SAMN32928172,simple,9606,Homo sapiens,GSM6995351,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_2h_B,whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR23242351,42526009,5613433188,132,1926,SRX19188713,GSM6995352,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599453,SAMN32928171,simple,9606,Homo sapiens,GSM6995352,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_2h_C,whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR23242350,35619373,4701757236,132,1606,SRX19188714,GSM6995353,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599454,SAMN32928170,simple,9606,Homo sapiens,GSM6995353,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_4h_A,whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR23242349,57624245,7606400340,132,2590,SRX19188715,GSM6995354,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599455,SAMN32928169,simple,9606,Homo sapiens,GSM6995354,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_4h_B,whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR23242348,47965633,6331463556,132,2156,SRX19188716,GSM6995355,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599456,SAMN32928168,simple,9606,Homo sapiens,GSM6995355,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,GCN1_4h_C,whole organism,whole organism,NA,NA,N2,NA,missing,missing,
