Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,breed,cultivar,ecotype,age,dev_stage,sex,tissue,biomaterial_provider,collected_by,collection_date,genotype,growth_protocol,phenotype,treatment,BioSampleModel
SRR7430884,7648903,507458740,66,209,SRX4301695,SJA60_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464278,SAMN09485621,simple,6239,Caenorhabditis elegans,SJA60,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,76 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,"weak twitches, sluggish",RNAi against unc-22 (BJA7),Model organism or animal
SRR7430883,10255130,717859100,70,330,SRX4301696,SJA109_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464270,SAMN09485641,simple,6239,Caenorhabditis elegans,SJA109,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430882,9940626,695843820,70,324,SRX4301697,SJA103_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464279,SAMN09485635,simple,6239,Caenorhabditis elegans,SJA103,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430881,7291238,510386660,70,237,SRX4301698,SJA102_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464277,SAMN09485634,simple,6239,Caenorhabditis elegans,SJA102,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430880,22920880,1739263866,75,720,SRX4301699,SJA59_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464280,SAMN09485620,simple,6239,Caenorhabditis elegans,SJA59,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,72 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,sluggish,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430879,7173765,485124508,67,200,SRX4301700,SJA59_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464280,SAMN09485620,simple,6239,Caenorhabditis elegans,SJA59,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,72 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,sluggish,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430878,23459877,1779839193,75,726,SRX4301701,SJA60_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464278,SAMN09485621,simple,6239,Caenorhabditis elegans,SJA60,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,76 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,"weak twitches, sluggish",RNAi against unc-22 (BJA7),Model organism or animal
SRR7430877,6401826,448127820,70,208,SRX4301702,SJA102_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464277,SAMN09485634,simple,6239,Caenorhabditis elegans,SJA102,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430876,35935732,2728576152,75,1117,SRX4301703,SJA57_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464281,SAMN09485618,simple,6239,Caenorhabditis elegans,SJA57,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,72 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,"weak twitches, a little sluggish",RNAi against unc-22 (BJA7),Model organism or animal
SRR7430875,5676644,372524544,65,152,SRX4301704,SJA57_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464281,SAMN09485618,simple,6239,Caenorhabditis elegans,SJA57,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,72 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,"weak twitches, a little sluggish",RNAi against unc-22 (BJA7),Model organism or animal
SRR7430874,21325610,1618017842,75,662,SRX4301705,SJA58_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464282,SAMN09485619,simple,6239,Caenorhabditis elegans,SJA58,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,72 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,sluggish,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430873,7887334,538927168,68,222,SRX4301706,SJA58_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464282,SAMN09485619,simple,6239,Caenorhabditis elegans,SJA58,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,72 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,sluggish,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430872,3840678,268847460,70,125,SRX4301707,SJA104_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464271,SAMN09485636,simple,6239,Caenorhabditis elegans,SJA104,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430871,9859892,690192440,70,321,SRX4301708,SJA111_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464261,SAMN09485643,simple,6239,Caenorhabditis elegans,SJA111,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430870,39014776,2962883278,75,1205,SRX4301709,SJA61_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464283,SAMN09485622,simple,6239,Caenorhabditis elegans,SJA61,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,76 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,weak sluggish,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430869,8217129,543958146,66,228,SRX4301710,SJA61_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464283,SAMN09485622,simple,6239,Caenorhabditis elegans,SJA61,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,76 hr,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2014-11-09,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,weak sluggish,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430868,6590382,461326740,70,217,SRX4301711,SJA104_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464271,SAMN09485636,simple,6239,Caenorhabditis elegans,SJA104,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430867,6884838,481938660,70,224,SRX4301712,SJA108_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464269,SAMN09485640,simple,6239,Caenorhabditis elegans,SJA108,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430866,6551778,458624460,70,212,SRX4301713,SJA106_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464264,SAMN09485638,simple,6239,Caenorhabditis elegans,SJA106,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430865,7834019,548381330,70,252,SRX4301714,SJA113_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464276,SAMN09485645,simple,6239,Caenorhabditis elegans,SJA113,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430864,5490543,384338010,70,180,SRX4301715,SJA110_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464263,SAMN09485642,simple,6239,Caenorhabditis elegans,SJA110,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA151,Unc,RNAi against unc-54 (BJA151),Model organism or animal
SRR7430863,5543010,388010700,70,182,SRX4301716,SJA113_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464276,SAMN09485645,simple,6239,Caenorhabditis elegans,SJA113,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430862,6941787,485925090,70,230,SRX4301717,SJA103_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464279,SAMN09485635,simple,6239,Caenorhabditis elegans,SJA103,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430861,7771043,543973010,70,252,SRX4301718,SJA112_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464268,SAMN09485644,simple,6239,Caenorhabditis elegans,SJA112,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430860,5520857,386459990,70,181,SRX4301719,SJA112_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464268,SAMN09485644,simple,6239,Caenorhabditis elegans,SJA112,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA153,Unc,RNAi against unc-54 (BJA153),Model organism or animal
SRR7430859,7236708,506569560,70,232,SRX4301720,SJA105_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464272,SAMN09485637,simple,6239,Caenorhabditis elegans,SJA105,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430858,9877303,691411210,70,324,SRX4301721,SJA105_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464272,SAMN09485637,simple,6239,Caenorhabditis elegans,SJA105,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430857,6923288,519246600,75,229,SRX4301722,SJA70_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464266,SAMN09485631,simple,6239,Caenorhabditis elegans,SJA70,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430856,8327886,582952020,70,268,SRX4301723,SJA103_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464279,SAMN09485635,simple,6239,Caenorhabditis elegans,SJA103,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA7,some twitches,RNAi against unc-22 (BJA7),Model organism or animal
SRR7430855,4961020,347271400,70,161,SRX4301724,SJA107_M,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464265,SAMN09485639,simple,6239,Caenorhabditis elegans,SJA107,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430854,7697790,538845300,70,248,SRX4301725,SJA106_RZ,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464264,SAMN09485638,simple,6239,Caenorhabditis elegans,SJA106,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2854,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR7430853,1538109,76905450,50,35,SRX4301726,SJA71_MS_1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464267,SAMN09485632,simple,6239,Caenorhabditis elegans,SJA71,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,L4/Young Adult,hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-02-15,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BJA40,Unc,RNAi against unc-54 (BJA40),Model organism or animal
SRR7430852,6016654,421165780,70,195,SRX4301727,SJA107_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151363,PRJNA477865,1,"",SRS3464265,SAMN09485639,simple,6239,Caenorhabditis elegans,SJA107,UC Santa Cruz,SRA728669,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,Not collected,"Larval, up to L4",hermaphrodite,whole organism,Andrew Fire,Joshua Arribere,2015-04-22,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BJA77,Unc,RNAi against unc-15 (BJA77),Model organism or animal
SRR8303115,63293842,3164692100,50,980,SRX5117614,SMP6_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS4125954,SAMN10583473,simple,6239,Caenorhabditis elegans,SMP6,UC Santa Cruz,SRA821624,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,75 hr,L4,hermaphrodite,whole organism,Andrew Fire,Makena Pule,2018-10-01,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BMP5,Unc,RNA against unc-54 (BMP5),Model organism or animal
SRR8303114,46242933,2312146650,50,713,SRX5117615,SMP7_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS4125955,SAMN10583474,simple,6239,Caenorhabditis elegans,SMP7,UC Santa Cruz,SRA821624,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,75 hr,L4,hermaphrodite,whole organism,Andrew Fire,Makena Pule,2018-10-01,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BMP5,Unc,RNA against unc-54 (BMP5),Model organism or animal
SRR8303113,34346429,1717321450,50,529,SRX5117616,SMP4_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS4125956,SAMN10583471,simple,6239,Caenorhabditis elegans,SMP4,UC Santa Cruz,SRA821624,05,2019,Makar,"","",PD 1074,Not applicable,Not applicable,Not applicable,Not applicable,75 hr,L4,hermaphrodite,whole organism,Andrew Fire,Makena Pule,2018-10-01,wild-type,Grown at 16C on NGM+Carb+IPTG seeded with BMP4,Unc,RNA against unc-54 (BMP4),Model organism or animal
SRR8303112,37181692,1859084600,50,571,SRX5117617,SMP5_MS,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP151363,PRJNA477865,1,"",SRS4125957,SAMN10583472,simple,6239,Caenorhabditis elegans,SMP5,UC Santa Cruz,SRA821624,05,2019,Makar,"","",PD 2860,Not applicable,Not applicable,Not applicable,Not applicable,75 hr,L4,hermaphrodite,whole organism,Andrew Fire,Makena Pule,2018-10-01,skih-2 pelo-1,Grown at 16C on NGM+Carb+IPTG seeded with BMP4,Unc,RNA against unc-54 (BMP4),Model organism or animal
