Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,status,ercc,treatment,time,GEO Accession
SRR5750382,39272427,2002893777,51,1192,SRX2950606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309046,SAMN07271358,simple,9606,Homo sapiens,GSM2680158,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_124,H295R,,,,Ang,24h,GSM2680158
SRR5750383,35512584,1811141784,51,1062,SRX2950607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309048,SAMN07271357,simple,9606,Homo sapiens,GSM2680159,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_125,H295R,,,,Ang,8h,GSM2680159
SRR5750384,2800444,142822644,51,85,SRX2950608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309049,SAMN07271356,simple,9606,Homo sapiens,GSM2680160,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_126,H295R,,,,Ang,8h,GSM2680160
SRR5750385,36883804,1881074004,51,1132,SRX2950609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309050,SAMN07271355,simple,9606,Homo sapiens,GSM2680161,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_127,H295R,,,,Ang,0h,GSM2680161
SRR5750386,3112381,158731431,51,93,SRX2950610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309051,SAMN07271354,simple,9606,Homo sapiens,GSM2680162,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_128,H295R,,,,Ang,4h,GSM2680162
SRR5750387,3363248,171525648,51,104,SRX2950611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309053,SAMN07271353,simple,9606,Homo sapiens,GSM2680163,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_129,H295R,,,,Ang,2h,GSM2680163
SRR5750388,12168352,620585952,51,370,SRX2950612,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309052,SAMN07271352,simple,9606,Homo sapiens,GSM2680164,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_130,H295R,,,,Ang,2h,GSM2680164
SRR5750389,12014197,612724047,51,366,SRX2950613,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309055,SAMN07271351,simple,9606,Homo sapiens,GSM2680165,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_131,H295R,,,,Ang,4h,GSM2680165
SRR5750390,1231818,62822718,51,37,SRX2950614,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309054,SAMN07271350,simple,9606,Homo sapiens,GSM2680166,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_132,H295R,,,,Ang,8h,GSM2680166
SRR5750391,1081579,55160529,51,31,SRX2950615,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309056,SAMN07271349,simple,9606,Homo sapiens,GSM2680167,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_133,H295R,,,,Ang,24h,GSM2680167
SRR5750392,1196712,61032312,51,36,SRX2950616,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309057,SAMN07271348,simple,9606,Homo sapiens,GSM2680168,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_134,H295R,,,,Ang,2h,GSM2680168
SRR5750393,1333336,68000136,51,38,SRX2950617,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309058,SAMN07271347,simple,9606,Homo sapiens,GSM2680169,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_135,H295R,,,,Ang,4h,GSM2680169
SRR5750394,16142316,823258116,51,475,SRX2950618,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309059,SAMN07271346,simple,9606,Homo sapiens,GSM2680170,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_136,H295R,,,,Ang,8h,GSM2680170
SRR5750395,11716919,597562869,51,355,SRX2950619,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP110270,PRJNA391696,1,"",SRS2309060,SAMN07271345,simple,9606,Homo sapiens,GSM2680171,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_137,H295R,,,,Ang,24h,GSM2680171
SRR5750396,56689020,8616731040,76,3305,SRX2950620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309061,SAMN07271344,simple,9606,Homo sapiens,GSM2680172,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_158,H295R,,,,Ctrl,0h,GSM2680172
SRR5750397,85910496,13058395392,76,4969,SRX2950621,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309062,SAMN07271343,simple,9606,Homo sapiens,GSM2680173,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_159,H295R,,,,Ctrl,0h,GSM2680173
SRR5750398,56333260,8562655520,76,3271,SRX2950622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309064,SAMN07271342,simple,9606,Homo sapiens,GSM2680174,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_160,H295R,,,,Ctrl,0h,GSM2680174
SRR5750399,56311335,8559322920,76,3305,SRX2950623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309063,SAMN07271341,simple,9606,Homo sapiens,GSM2680175,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_161,H295R,,,,Ctrl,0h,GSM2680175
SRR5750400,55004439,8360674728,76,3230,SRX2950624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309065,SAMN07271294,simple,9606,Homo sapiens,GSM2680176,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_162,H295R,,,,Ctrl,0h,GSM2680176
SRR5750401,63656136,9675732672,76,3707,SRX2950625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309068,SAMN07271293,simple,9606,Homo sapiens,GSM2680177,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_163,H295R,,,,Ctrl,0h,GSM2680177
SRR5750402,35274927,2680894452,76,940,SRX2950626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309066,SAMN07271292,simple,9606,Homo sapiens,GSM2680178,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_267,H295R,,,,Ctrl,0h,GSM2680178
SRR5750403,33440951,2541512276,76,883,SRX2950627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309067,SAMN07271285,simple,9606,Homo sapiens,GSM2680179,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_268,H295R,,,,For,0.5h,GSM2680179
SRR5750404,35804383,2721133108,76,962,SRX2950628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309069,SAMN07271291,simple,9606,Homo sapiens,GSM2680180,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_269,H295R,,,,For,1h,GSM2680180
SRR5750405,35701786,2713335736,76,940,SRX2950629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309070,SAMN07271290,simple,9606,Homo sapiens,GSM2680181,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_270,H295R,,,,For,2h,GSM2680181
SRR5750406,31327423,2380884148,76,820,SRX2950630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309071,SAMN07271289,simple,9606,Homo sapiens,GSM2680182,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_271,H295R,,,,For,4h,GSM2680182
SRR5750407,29311411,2227667236,76,768,SRX2950631,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309072,SAMN07271288,simple,9606,Homo sapiens,GSM2680183,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_272,H295R,,,,For,24h,GSM2680183
SRR5750408,19505082,1482386232,76,521,SRX2950632,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309073,SAMN07271287,simple,9606,Homo sapiens,GSM2680184,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_273,H295R,,,,Ctrl,0h,GSM2680184
SRR5750409,31295686,2378472136,76,826,SRX2950633,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309074,SAMN07271286,simple,9606,Homo sapiens,GSM2680185,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_274,H295R,,,,For,0.5h,GSM2680185
SRR5750410,27494204,2089559504,76,725,SRX2950634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309076,SAMN07271284,simple,9606,Homo sapiens,GSM2680186,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_275,H295R,,,,For,1h,GSM2680186
SRR5750411,26946028,2047898128,76,718,SRX2950635,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309075,SAMN07271283,simple,9606,Homo sapiens,GSM2680187,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_276,H295R,,,,For,2h,GSM2680187
SRR5750412,26316501,2000054076,76,712,SRX2950636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309077,SAMN07271282,simple,9606,Homo sapiens,GSM2680188,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_277,H295R,,,,For,4h,GSM2680188
SRR5750413,24764091,1882070916,76,653,SRX2950637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309078,SAMN07271281,simple,9606,Homo sapiens,GSM2680189,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_278,H295R,,,,For,24h,GSM2680189
SRR5750414,42652389,6483163128,76,2483,SRX2950638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309079,SAMN07271280,simple,9606,Homo sapiens,GSM2680190,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_285,H295R,,,,For,Ctrl,GSM2680190
SRR5750415,45523459,6919565768,76,2641,SRX2950639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309113,SAMN07271279,simple,9606,Homo sapiens,GSM2680191,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_286,H295R,,,,For,0.5h,GSM2680191
SRR5750416,46192598,7021274896,76,2700,SRX2950640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309080,SAMN07271278,simple,9606,Homo sapiens,GSM2680192,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_287,H295R,,,,For,1h,GSM2680192
SRR5750417,52127802,7923425904,76,2992,SRX2950641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309081,SAMN07271277,simple,9606,Homo sapiens,GSM2680193,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_288,H295R,,,,For,2h,GSM2680193
SRR5750418,44216831,6720958312,76,2582,SRX2950642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309082,SAMN07271276,simple,9606,Homo sapiens,GSM2680194,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_289,H295R,,,,For,4h,GSM2680194
SRR5750419,50020146,7603062192,76,2906,SRX2950643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309083,SAMN07271275,simple,9606,Homo sapiens,GSM2680195,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_290,H295R,,,,For,24h,GSM2680195
SRR5750420,48096339,7310643528,76,2764,SRX2950644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309085,SAMN07271274,simple,9606,Homo sapiens,GSM2680196,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_291,H295R,,,,Ctrl,0h,GSM2680196
SRR5750421,51394050,7811895600,76,3013,SRX2950645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309084,SAMN07271273,simple,9606,Homo sapiens,GSM2680197,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_292,H295R,,,,For,0.5h,GSM2680197
SRR5750422,46280576,7034647552,76,2667,SRX2950646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309087,SAMN07271272,simple,9606,Homo sapiens,GSM2680198,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_293,H295R,,,,For,1h,GSM2680198
SRR5750423,45597143,6930765736,76,2636,SRX2950647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309086,SAMN07271271,simple,9606,Homo sapiens,GSM2680199,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_294,H295R,,,,For,2h,GSM2680199
SRR5750424,45600295,6931244840,76,2651,SRX2950648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309088,SAMN07271376,simple,9606,Homo sapiens,GSM2680200,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_295,H295R,,,,For,4h,GSM2680200
SRR5750425,47356585,7198200920,76,2736,SRX2950649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309089,SAMN07271375,simple,9606,Homo sapiens,GSM2680201,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_296,H295R,,,,For,24h,GSM2680201
SRR5750426,44736631,6799967912,76,2623,SRX2950650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309090,SAMN07271374,simple,9606,Homo sapiens,GSM2680202,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_297,H295R,,,y,Ctrl,0h,GSM2680202
SRR5750427,42130957,6403905464,76,2490,SRX2950651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309092,SAMN07271373,simple,9606,Homo sapiens,GSM2680203,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_298,H295R,,,y,For,0.5h,GSM2680203
SRR5750428,43791390,6656291280,76,2556,SRX2950652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309091,SAMN07271372,simple,9606,Homo sapiens,GSM2680204,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_299,H295R,,,y,For,1h,GSM2680204
SRR5750429,47310565,7191205880,76,2764,SRX2950653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309093,SAMN07271371,simple,9606,Homo sapiens,GSM2680205,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_300,H295R,,,y,For,2h,GSM2680205
SRR5750430,44684620,6792062240,76,2637,SRX2950654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309094,SAMN07271326,simple,9606,Homo sapiens,GSM2680206,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_301,H295R,,,y,For,4h,GSM2680206
SRR5750431,43480607,6609052264,76,2534,SRX2950655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309095,SAMN07271325,simple,9606,Homo sapiens,GSM2680207,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_302,H295R,,,y,For,24h,GSM2680207
SRR5750432,42038167,6389801384,76,2460,SRX2950656,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309096,SAMN07271324,simple,9606,Homo sapiens,GSM2680208,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_303,H295R,,,y,Ctrl,0h,GSM2680208
SRR5750433,48268271,7336777192,76,2810,SRX2950657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309097,SAMN07271323,simple,9606,Homo sapiens,GSM2680209,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_304,H295R,,,y,For,0.5h,GSM2680209
SRR5750434,43849136,6665068672,76,2591,SRX2950658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309099,SAMN07271422,simple,9606,Homo sapiens,GSM2680210,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_305,H295R,,,y,For,1h,GSM2680210
SRR5750435,45698753,6946210456,76,2655,SRX2950659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309098,SAMN07271421,simple,9606,Homo sapiens,GSM2680211,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_306,H295R,,,y,For,2h,GSM2680211
SRR5750436,42664487,6485002024,76,2486,SRX2950660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309100,SAMN07271420,simple,9606,Homo sapiens,GSM2680212,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_307,H295R,,,y,For,4h,GSM2680212
SRR5750437,41231037,6267117624,76,2416,SRX2950661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309101,SAMN07271419,simple,9606,Homo sapiens,GSM2680213,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_308,H295R,,,y,For,24h,GSM2680213
SRR5750438,35579528,2704044128,76,940,SRX2950662,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309102,SAMN07271418,simple,9606,Homo sapiens,GSM2680214,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_309,H295R,,,,Ctrl,0h,GSM2680214
SRR5750439,34059590,2588528840,76,914,SRX2950663,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309103,SAMN07271417,simple,9606,Homo sapiens,GSM2680215,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_310,H295R,,,,For,0.5h,GSM2680215
SRR5750440,35715518,2714379368,76,942,SRX2950664,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309104,SAMN07271416,simple,9606,Homo sapiens,GSM2680216,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_311,H295R,,,,For,1h,GSM2680216
SRR5750441,50637971,3848485796,76,1358,SRX2950665,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309105,SAMN07271415,simple,9606,Homo sapiens,GSM2680217,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_312,H295R,,,,For,2h,GSM2680217
SRR5750442,43243125,3286477500,76,1145,SRX2950666,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309106,SAMN07271414,simple,9606,Homo sapiens,GSM2680218,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_313,H295R,,,,For,4h,GSM2680218
SRR5750443,36594222,2781160872,76,980,SRX2950667,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309108,SAMN07271413,simple,9606,Homo sapiens,GSM2680219,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_314,H295R,,,,For,24h,GSM2680219
SRR5750444,35259745,2679740620,76,931,SRX2950668,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309107,SAMN07271412,simple,9606,Homo sapiens,GSM2680220,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_315,H295R,,,,Ctrl,0h,GSM2680220
SRR5750445,38867675,2953943300,76,1031,SRX2950669,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309109,SAMN07271411,simple,9606,Homo sapiens,GSM2680221,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_316,H295R,,,,For,0.5h,GSM2680221
SRR5750446,41915173,3185553148,76,1121,SRX2950670,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309110,SAMN07271410,simple,9606,Homo sapiens,GSM2680222,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_317,H295R,,,,For,1h,GSM2680222
SRR5750447,36980031,2810482356,76,990,SRX2950671,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309111,SAMN07271409,simple,9606,Homo sapiens,GSM2680223,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_318,H295R,,,,For,2h,GSM2680223
SRR5750448,38249978,2906998328,76,1018,SRX2950672,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309112,SAMN07271408,simple,9606,Homo sapiens,GSM2680224,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_319,H295R,,,,For,4h,GSM2680224
SRR5750449,38886749,2955392924,76,1046,SRX2950673,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP110270,PRJNA391696,1,"",SRS2309114,SAMN07271407,simple,9606,Homo sapiens,GSM2680225,GEO,SRA580578,08,2021,Makar,H295R,UO_AH_320,H295R,,,,For,24h,GSM2680225
