Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,genotype
SRR18113867,4317108,1295132400,150,411,SRX14264316,GSM5911930,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083276,SAMN26198893,simple,9606,Homo sapiens,GSM5911930,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_9C_1_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,LEUTX KD
SRR18113866,4971007,1491302100,150,471,SRX14264317,GSM5911931,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083277,SAMN26198892,simple,9606,Homo sapiens,GSM5911931,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_9C_2_smartseq,Preimplantation embryo,Preimplantation embryo,10-cell,Control siRNA
SRR18113865,7401222,2220366600,150,712,SRX14264318,GSM5911932,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083278,SAMN26198891,simple,9606,Homo sapiens,GSM5911932,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_9C_3_smartseq,Preimplantation embryo,Preimplantation embryo,10-cell,Control siRNA
SRR18113864,5936655,1780996500,150,580,SRX14264319,GSM5911933,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083279,SAMN26198890,simple,9606,Homo sapiens,GSM5911933,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLEUTX_d3_9C_4_smartseq,Preimplantation embryo,Preimplantation embryo,10-cell,Control siRNA
SRR18113863,8404235,2521270500,150,815,SRX14264320,GSM5911934,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083280,SAMN26198889,simple,9606,Homo sapiens,GSM5911934,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_10C_1_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,Control siRNA
SRR18113862,7290232,2187069600,150,702,SRX14264321,GSM5911935,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083281,SAMN26198888,simple,9606,Homo sapiens,GSM5911935,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_10C_2_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA
SRR18113861,7420366,2226109800,150,716,SRX14264322,GSM5911936,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083282,SAMN26198887,simple,9606,Homo sapiens,GSM5911936,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_10C_3_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA
SRR18113860,5666315,1699894500,150,545,SRX14264323,GSM5911937,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083283,SAMN26198886,simple,9606,Homo sapiens,GSM5911937,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_5C_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA
SRR18113859,4799424,1439827200,150,491,SRX14264324,GSM5911938,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083284,SAMN26198885,simple,9606,Homo sapiens,GSM5911938,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_8C_1_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA
SRR18113858,4741560,1422468000,150,448,SRX14264325,GSM5911939,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083285,SAMN26198884,simple,9606,Homo sapiens,GSM5911939,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_8C_2_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA
SRR18113857,4282425,1284727500,150,404,SRX14264326,GSM5911940,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083286,SAMN26198883,simple,9606,Homo sapiens,GSM5911940,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_8C_3_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,Control siRNA
SRR18113856,8586377,2575913100,150,830,SRX14264327,GSM5911941,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083287,SAMN26198882,simple,9606,Homo sapiens,GSM5911941,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_8C_4_smartseq,Preimplantation embryo,Preimplantation embryo,6-cell,TPRX12L KD
SRR18113855,7087100,2126130000,150,686,SRX14264328,GSM5911942,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083288,SAMN26198881,simple,9606,Homo sapiens,GSM5911942,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_8C_5_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,TPRX12L KD
SRR18113854,5497659,1649297700,150,516,SRX14264329,GSM5911943,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083289,SAMN26198880,simple,9606,Homo sapiens,GSM5911943,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siLNC_d3_9C_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,TPRX12L KD
SRR18113853,7800459,2340137700,150,746,SRX14264330,GSM5911944,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083290,SAMN26198879,simple,9606,Homo sapiens,GSM5911944,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_6C_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,TPRX12L KD
SRR18113852,8648771,2594631300,150,829,SRX14264331,GSM5911945,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083291,SAMN26198878,simple,9606,Homo sapiens,GSM5911945,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_7C_1_smartseq,Preimplantation embryo,Preimplantation embryo,7-cell,TPRX12L KD
SRR18113851,4991212,1497363600,150,480,SRX14264332,GSM5911946,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083292,SAMN26198877,simple,9606,Homo sapiens,GSM5911946,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_7C_2_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,TPRX12L KD
SRR18113850,5266240,1579872000,150,506,SRX14264333,GSM5911947,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083293,SAMN26198876,simple,9606,Homo sapiens,GSM5911947,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_7C_3_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,TPRX12L KD
SRR18113849,5912601,1773780300,150,569,SRX14264334,GSM5911948,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083294,SAMN26198875,simple,9606,Homo sapiens,GSM5911948,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_7C_4_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,TPRX12L KD
SRR18113848,7636668,2291000400,150,739,SRX14264335,GSM5911949,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083295,SAMN26198874,simple,9606,Homo sapiens,GSM5911949,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_8C_1_smartseq,Preimplantation embryo,Preimplantation embryo,morula,TPRX12L KD
SRR18113847,4864024,1459207200,150,507,SRX14264336,GSM5911950,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083296,SAMN26198873,simple,9606,Homo sapiens,GSM5911950,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_8C_2_smartseq,Preimplantation embryo,Preimplantation embryo,morula,TPRX12L KD
SRR18113846,5084049,1525214700,150,485,SRX14264337,GSM5911951,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083297,SAMN26198872,simple,9606,Homo sapiens,GSM5911951,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_9C_smartseq,Preimplantation embryo,Preimplantation embryo,10-cell,Control siRNA and morpholino
SRR18113845,8325664,2497699200,150,802,SRX14264338,GSM5911952,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083298,SAMN26198871,simple,9606,Homo sapiens,GSM5911952,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_morula_1_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,Control siRNA and morpholino
SRR18113844,8608506,2582551800,150,829,SRX14264339,GSM5911953,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083299,SAMN26198870,simple,9606,Homo sapiens,GSM5911953,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTPRX12L_d4_morula_2_smartseq,Preimplantation embryo,Preimplantation embryo,5-cell,Control siRNA and morpholino
SRR18113843,6991927,2097578100,150,683,SRX14264340,GSM5911954,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083300,SAMN26198869,simple,9606,Homo sapiens,GSM5911954,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_10C_smartseq,Preimplantation embryo,Preimplantation embryo,6-cell,Control siRNA and morpholino
SRR18113842,7454216,2236264800,150,714,SRX14264341,GSM5911955,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083301,SAMN26198868,simple,9606,Homo sapiens,GSM5911955,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_5C_1_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA and morpholino
SRR18113841,4191228,1257368400,150,402,SRX14264342,GSM5911956,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083302,SAMN26198867,simple,9606,Homo sapiens,GSM5911956,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_5C_2_smartseq,Preimplantation embryo,Preimplantation embryo,8-cell,Control siRNA and morpholino
SRR18113840,6206540,1861962000,150,609,SRX14264343,GSM5911957,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083303,SAMN26198866,simple,9606,Homo sapiens,GSM5911957,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_6C_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,Control siRNA and morpholino
SRR18113839,4129741,1238922300,150,395,SRX14264344,GSM5911958,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083304,SAMN26198865,simple,9606,Homo sapiens,GSM5911958,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_8C_1_smartseq,Preimplantation embryo,Preimplantation embryo,9-cell,Control siRNA and morpholino
SRR18113838,4543821,1363146300,150,432,SRX14264345,GSM5911959,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083305,SAMN26198864,simple,9606,Homo sapiens,GSM5911959,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_8C_2_smartseq,Preimplantation embryo,Preimplantation embryo,morula,Control siRNA and morpholino
SRR18113837,4185963,1255788900,150,401,SRX14264346,GSM5911960,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083306,SAMN26198863,simple,9606,Homo sapiens,GSM5911960,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_9C_1_smartseq,Preimplantation embryo,Preimplantation embryo,morula,Control siRNA and morpholino
SRR18113836,4334071,1300221300,150,417,SRX14264347,GSM5911961,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083307,SAMN26198862,simple,9606,Homo sapiens,GSM5911961,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_9C_2_smartseq,Preimplantation embryo,Preimplantation embryo,morula,Control siRNA and morpholino
SRR18113835,8757153,2627145900,150,846,SRX14264348,GSM5911962,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083308,SAMN26198861,simple,9606,Homo sapiens,GSM5911962,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_morula_1_smartseq,Preimplantation embryo,Preimplantation embryo,morula,Control siRNA and morpholino
SRR18113834,6820603,2046180900,150,660,SRX14264349,GSM5911963,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083309,SAMN26198860,simple,9606,Homo sapiens,GSM5911963,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_morula_2_smartseq,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,EGFP_OE
SRR18113833,3606344,1081903200,150,347,SRX14264350,GSM5911964,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083310,SAMN26198859,simple,9606,Homo sapiens,GSM5911964,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_morula_3_smartseq,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,EGFP_OE
SRR18113832,4164885,1249465500,150,398,SRX14264351,GSM5911965,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083311,SAMN26198858,simple,9606,Homo sapiens,GSM5911965,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Preimplantation embryo,h_siTNC_d4_morula_4_smartseq,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,EGFP_OE
SRR18113831,4795448,1438634400,150,460,SRX14264352,GSM5911806,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083312,SAMN26199017,simple,9606,Homo sapiens,GSM5911806,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_EGFP_OE48h_smartseq_rep4,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,EGFP_OE
SRR18113830,3652838,1095851400,150,355,SRX14264353,GSM5911807,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083313,SAMN26199016,simple,9606,Homo sapiens,GSM5911807,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_EGFP_OE48h_smartseq_rep2,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_minusDox48h
SRR18113829,7958432,2387529600,150,744,SRX14264354,GSM5911808,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083314,SAMN26199015,simple,9606,Homo sapiens,GSM5911808,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_EGFP_OE48h_smartseq_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_minusDox48h
SRR18113828,4485158,1345547400,150,433,SRX14264355,GSM5911809,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083315,SAMN26199014,simple,9606,Homo sapiens,GSM5911809,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_EGFP_OE48h_smartseq_rep3,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_minusDox48h
SRR18113827,5516414,1654924200,150,530,SRX14264356,GSM5911810,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083316,SAMN26199013,simple,9606,Homo sapiens,GSM5911810,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_naive_TPRXL_minusDox48h_smartseq_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_plusDox48h
SRR18113905,4240733,1272219900,150,419,SRX14264357,GSM5911811,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083317,SAMN26199012,simple,9606,Homo sapiens,GSM5911811,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_naive_TPRXL_minusDox48h_smartseq_rep2,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_plusDox48h
SRR18113826,6432171,1929651300,150,605,SRX14264358,GSM5911812,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083318,SAMN26199011,simple,9606,Homo sapiens,GSM5911812,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_naive_TPRXL_minusDOX48h_smartseq_rep3,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_plusDox48h
SRR18113825,6480577,1944173100,150,620,SRX14264359,GSM5911813,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083319,SAMN26199010,simple,9606,Homo sapiens,GSM5911813,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_naive_TPRXL_plusDox48h_smartseq_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRX1_OE
SRR18113800,7083348,2125004400,150,701,SRX14264360,GSM5911814,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083320,SAMN26199009,simple,9606,Homo sapiens,GSM5911814,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_naive_TPRXL_plusDox48h_smartseq_rep2,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRX1_OE
SRR18113824,5589754,1676926200,150,518,SRX14264361,GSM5911815,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083321,SAMN26199008,simple,9606,Homo sapiens,GSM5911815,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_naive_TPRXL_plusDOX48h_smartseq_rep3,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRX1_OE
SRR18113823,8405483,2521644900,150,793,SRX14264362,GSM5911816,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083322,SAMN26199007,simple,9606,Homo sapiens,GSM5911816,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRX1_OE48h_smartseq_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRX2_OE
SRR18113822,3331175,999352500,150,323,SRX14264363,GSM5911817,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083323,SAMN26199006,simple,9606,Homo sapiens,GSM5911817,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRX1_OE48h_smartseq_rep2,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRX2_OE
SRR18113821,4584953,1375485900,150,439,SRX14264364,GSM5911818,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083324,SAMN26199005,simple,9606,Homo sapiens,GSM5911818,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRX1_OE48h_smartseq_rep3,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRX2_OE
SRR18113820,8861017,2658305100,150,840,SRX14264365,GSM5911819,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083325,SAMN26199004,simple,9606,Homo sapiens,GSM5911819,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRX2_OE48h_smartseq_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_OE
SRR18113819,3902768,1170830400,150,379,SRX14264366,GSM5911820,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083326,SAMN26199003,simple,9606,Homo sapiens,GSM5911820,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRX2_OE48h_smartseq_rep2,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_OE
SRR18113818,4546047,1363814100,150,435,SRX14264367,GSM5911821,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083327,SAMN26199002,simple,9606,Homo sapiens,GSM5911821,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRX2_OE48h_smartseq_rep3,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_OE
SRR18113817,4058405,1217521500,150,390,SRX14264368,GSM5911822,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP361145,PRJNA809587,36074823,"",SRS12083328,SAMN26199001,simple,9606,Homo sapiens,GSM5911822,"Wei Xie, School of Life Sciences, Tsinghua University",SRA1376840,10,2022,Zou,Embryonic stem cell,H9_TPRXL_OE48h_smartseq_rep1,Embryonic stem cell,Embryonic stem cell,Embryonic stem cell,TPRXL_OE
