Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,passages,GEO Accession
SRR7235823,51613022,5264528244,51,1808,SRX4142131,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355928,SAMN09283507,simple,10090,Mus musculus,GSM3165436,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD CHX-treated, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165430
SRR7235824,63787834,6506359068,51,2692,SRX4142132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355927,SAMN09283506,simple,10090,Mus musculus,GSM3165437,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD CHX-treated, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165431
SRR7235825,50940132,5195893464,51,2086,SRX4142132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355927,SAMN09283506,simple,10090,Mus musculus,GSM3165437,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq Control KD CHX-treated, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165432
SRR7235826,68523141,6989360382,51,2471,SRX4142133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355930,SAMN09283505,simple,10090,Mus musculus,GSM3165438,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD CHX-treated, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165433
SRR7235827,57669439,5882282778,51,2004,SRX4142133,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355930,SAMN09283505,simple,10090,Mus musculus,GSM3165438,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD CHX-treated, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165434
SRR7235828,67812939,6916919778,51,2823,SRX4142134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355929,SAMN09283504,simple,10090,Mus musculus,GSM3165439,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD CHX-treated, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165435
SRR7235829,57147296,5829024192,51,2324,SRX4142134,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS3355929,SAMN09283504,simple,10090,Mus musculus,GSM3165439,GEO,SRA712598,10,2018,Oldfield,mouse Embryonic Stem Cells (ESCs),"RNA-Seq NF-YA KD CHX-treated, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165436
SRR9047363,15931941,1625057982,51,591,SRX5823890,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS4751974,SAMN11634465,simple,10090,Mus musculus,GSM3763078,GEO,SRA712598,07,2019,Oldfield,mouse Embryonic Stem Cells (ESCs),"ATAC-Seq Control KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165437
SRR9047364,18411943,1878018186,51,679,SRX5823891,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS4751975,SAMN11634464,simple,10090,Mus musculus,GSM3763079,GEO,SRA712598,07,2019,Oldfield,mouse Embryonic Stem Cells (ESCs),"ATAC-Seq Control KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",E14Tg2a,20-35,GSM3165438
SRR9047365,13649758,1392275316,51,507,SRX5823892,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS4751976,SAMN11634463,simple,10090,Mus musculus,GSM3763080,GEO,SRA712598,07,2019,Oldfield,mouse Embryonic Stem Cells (ESCs),"ATAC-Seq NF-YA KD, Rep 1",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165439
SRR9047366,23118015,2358037530,51,854,SRX5823893,,ATAC-seq,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP149362,PRJNA473812,31296853,"",SRS4751977,SAMN11634462,simple,10090,Mus musculus,GSM3763081,GEO,SRA712598,07,2019,Oldfield,mouse Embryonic Stem Cells (ESCs),"ATAC-Seq NF-YA KD, Rep 2",mouse Embryonic Stem Cells (ESCs),"NF-YA siRNA (Invitrogen, MSS247473)",E14Tg2a,20-35,GSM3165409
