Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,stain,age,Sex,tissue,genotype,time,protocol,geo_loc_name,collection_date
SRR18954647,13231677,674815527,51,380,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954648,12899113,657854763,51,369,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954650,13018686,663952986,51,372,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954651,13022189,664131639,51,372,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954653,12804634,653036334,51,366,SRX15034742,GSM6070360,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781716,SAMN27921680,simple,10090,Mus musculus,GSM6070360,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B1_CT00_130516liver_8am (CT00_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954633,12487879,636881829,51,372,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954635,12488179,636897129,51,374,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954636,13002915,663148665,51,390,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954638,12713249,648375699,51,380,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954639,12857061,655710111,51,384,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954641,12848015,655248765,51,384,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954642,12716858,648559758,51,380,SRX15034743,GSM6070361,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781876,SAMN27921679,simple,10090,Mus musculus,GSM6070361,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B2_CT04_130516liver_12pm (CT04_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954623,12779823,651770973,51,365,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954624,12787194,652146894,51,366,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954626,13308270,678721770,51,381,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954627,12985687,662270037,51,371,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954629,13136267,669949617,51,375,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954630,13129625,669610875,51,374,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954632,12955337,660722187,51,369,SRX15034744,GSM6070362,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781389,SAMN27921678,simple,10090,Mus musculus,GSM6070362,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B3_CT08_130516liver_4pm (CT08_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954612,11652931,594299481,51,333,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954614,11657758,594545658,51,335,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954615,12108969,617557419,51,348,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954616,11844172,604052772,51,339,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954618,11977270,610840770,51,343,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954619,11980180,610989180,51,343,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954621,11845388,604114788,51,339,SRX15034745,GSM6070363,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781877,SAMN27921677,simple,10090,Mus musculus,GSM6070363,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B4_CT12_130516liver_8pm (CT12_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954602,9082181,463191231,51,284,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954603,9076213,462886863,51,285,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954605,9414863,480158013,51,296,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954606,9217114,470072814,51,289,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954608,9325158,475583058,51,292,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954609,9336216,476147016,51,292,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954611,9277626,473158926,51,290,SRX15034746,GSM6070364,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781718,SAMN27921676,simple,10090,Mus musculus,GSM6070364,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954592,11750112,599255712,51,333,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954594,11758074,599661774,51,335,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954595,12215515,622991265,51,348,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954597,11938677,608872527,51,339,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954598,12067983,615467133,51,342,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954599,12069841,615561891,51,342,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954601,11911754,607499454,51,338,SRX15034747,GSM6070365,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781390,SAMN27921675,simple,10090,Mus musculus,GSM6070365,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B6_CT20_130517liver_4am (CT20_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954582,14155418,721926318,51,401,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954583,14085881,718379931,51,400,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954585,14589479,744063429,51,415,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954586,14146563,721474713,51,401,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954588,14136886,720981186,51,401,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
SRR18954589,14194697,723929547,51,402,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954591,13774086,702478386,51,390,SRX15034748,GSM6070366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781879,SAMN27921674,simple,10090,Mus musculus,GSM6070366,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B7_CT00_130517liver_8am (CT24_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT00,RiboProf library,missing,missing
SRR18954573,13163695,671348445,51,422,SRX15034749,GSM6070367,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781878,SAMN27921673,simple,10090,Mus musculus,GSM6070367,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am_AR4_1 (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT04,RiboProf library,missing,missing
SRR18954574,13125232,669386832,51,422,SRX15034749,GSM6070367,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781878,SAMN27921673,simple,10090,Mus musculus,GSM6070367,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am_AR4_1 (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT08,RiboProf library,missing,missing
SRR18954575,13637523,695513673,51,438,SRX15034749,GSM6070367,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781878,SAMN27921673,simple,10090,Mus musculus,GSM6070367,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am_AR4_1 (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT12,RiboProf library,missing,missing
SRR18954577,13262080,676366080,51,426,SRX15034749,GSM6070367,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781878,SAMN27921673,simple,10090,Mus musculus,GSM6070367,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am_AR4_1 (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT16,RiboProf library,missing,missing
SRR18954578,13369343,681836493,51,429,SRX15034749,GSM6070367,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP372571,PRJNA832792,1,"",SRS12781878,SAMN27921673,simple,10090,Mus musculus,GSM6070367,"Systems Immunology, iFReC, Osaka University",SRA1411429,05,2023,Makar,whole liver tissue,B5_CT16_130517liver_12am_AR4_1 (CT16_rep2),whole liver tissue,C57BL/6N,8-10 week-old,male,whole liver tissue,wild-type,CT20,RiboProf library,missing,missing
