Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,age,geo_loc_name,tissue,harvest_condition,replicate,sample_type,BioSampleModel
SRR12765181,2780582,280838782,101,98,SRX9235906,"RNA-seq of maize bundle sheath rep 2, run 3",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765180,2946902,444982202,151,159,SRX9235907,"RNA-seq of maize bundle sheath rep 2, run 4",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765179,3228613,487520563,151,174,SRX9235908,"RNA-seq of maize bundle sheath rep 2, run 5",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR12765178,17954372,1813391572,101,912,SRX9235909,"RNA-seq of maize bundle sheath rep 3, run 1",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765177,17417245,1759141745,101,882,SRX9235910,"RNA-seq of maize bundle sheath rep 3, run 2",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765176,10810136,1091823736,101,383,SRX9235911,"RNA-seq of maize bundle sheath rep 3, run 3",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765175,11574382,1747731682,151,629,SRX9235912,"RNA-seq of maize bundle sheath rep 3, run 4",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765174,12603419,1903116269,151,684,SRX9235913,"RNA-seq of maize bundle sheath rep 3, run 5",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
SRR12765173,13859170,1399776170,101,692,SRX9235914,"ribo-seq of maize mesophyll rep 2, run 2",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765172,13557450,1369302450,101,459,SRX9235915,"ribo-seq of maize mesophyll rep 2, run 3",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765171,15801163,2385975613,151,903,SRX9235916,"ribo-seq of maize mesophyll rep 2, run 4",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR12765170,16478115,2488195365,151,943,SRX9235917,"ribo-seq of maize mesophyll rep 2, run 5",miRNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1137106,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR13159252,16392831,1229462325,75,393,SRX9598275,miRNA-seq of maize mesophyll rep 1,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286194,PRJNA667075,34618144,"",SRS7469191,SAMN16352146,simple,4577,Zea mays,Mesophyll fraction rep 1,University of Oregon,SRA1164452,06,2021,Chotewutmontri,"",Mesophyll fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Mesophyll enriched fraction,Plant
SRR13159251,5107814,515889214,101,177,SRX9598276,miRNA-seq of maize mesophyll rep 2,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286194,PRJNA667075,34618144,"",SRS7469196,SAMN16352147,simple,4577,Zea mays,Mesophyll fraction rep 2,University of Oregon,SRA1164452,06,2021,Chotewutmontri,"",Mesophyll fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Mesophyll enriched fraction,Plant
SRR13159250,27436290,2057721750,75,641,SRX9598277,miRNA-seq of maize mesophyll rep 3,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286194,PRJNA667075,34618144,"",SRS7469192,SAMN16352148,simple,4577,Zea mays,Mesophyll fraction rep 3,University of Oregon,SRA1164452,06,2021,Chotewutmontri,"",Mesophyll fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Mesophyll enriched fraction,Plant
SRR13159249,23143626,1735771950,75,547,SRX9598278,miRNA-seq of maize bundle sheath rep 1,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286194,PRJNA667075,34618144,"",SRS7469193,SAMN16352149,simple,4577,Zea mays,Bundle sheath fraction rep 1,University of Oregon,SRA1164452,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 1,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 1,Bundle sheath enriched fraction,Plant
SRR13159248,5704619,576166519,101,202,SRX9598279,miRNA-seq of maize bundle sheath rep 2,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286194,PRJNA667075,34618144,"",SRS7469194,SAMN16352150,simple,4577,Zea mays,Bundle sheath fraction rep 2,University of Oregon,SRA1164452,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 2,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 2,Bundle sheath enriched fraction,Plant
SRR13159247,29799234,2234942550,75,703,SRX9598280,miRNA-seq of maize bundle sheath rep 3,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286194,PRJNA667075,34618144,"",SRS7469195,SAMN16352151,simple,4577,Zea mays,Bundle sheath fraction rep 3,University of Oregon,SRA1164452,06,2021,Chotewutmontri,"",Bundle sheath fraction rep 3,B73,13 days,USA,Aproximately a third of leaves 2 and 3 from leaf tips,two hours after dawn,rep 3,Bundle sheath enriched fraction,Plant
