Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,disease stage,genotype,gender,GEO Accession
SRR2927665,67047682,3352384100,50,2240,SRX1420710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153759,SAMN04244217,simple,10090,Mus musculus,GSM1930882,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-8m-2,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930852
SRR2927666,53049717,2652485850,50,1717,SRX1420711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153757,SAMN04244218,simple,10090,Mus musculus,GSM1930883,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-8m-3,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930853
SRR2927667,62590520,3129526000,50,2023,SRX1420712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153758,SAMN04244219,simple,10090,Mus musculus,GSM1930884,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-8m-4,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930854
SRR2927668,62479197,3123959850,50,2091,SRX1420713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153756,SAMN04244220,simple,10090,Mus musculus,GSM1930885,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-8m-1,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930855
SRR2927669,59680530,2984026500,50,2001,SRX1420714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153755,SAMN04244221,simple,10090,Mus musculus,GSM1930886,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-8m-2,Astrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930856
SRR2927670,60232051,3011602550,50,2003,SRX1420715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153754,SAMN04244222,simple,10090,Mus musculus,GSM1930887,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-8m-3,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930857
SRR2927671,49914231,2495711550,50,1620,SRX1420716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153753,SAMN04244223,simple,10090,Mus musculus,GSM1930888,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-8m-4,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930858
SRR2927672,24848525,1242426250,50,809,SRX1420717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153752,SAMN04244224,simple,10090,Mus musculus,GSM1930889,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-11m-1,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930859
SRR2927673,33308919,1665445950,50,1079,SRX1420718,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153751,SAMN04244225,simple,10090,Mus musculus,GSM1930890,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-11m-2,Astrocyte,Spinal Cord,Onset,SOD1 G37R,male,GSM1930860
SRR2927674,33247018,1662350900,50,1075,SRX1420719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153750,SAMN04244226,simple,10090,Mus musculus,GSM1930891,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-CTRL-11m-3,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930861
SRR2927675,34512287,1725614350,50,1118,SRX1420720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153748,SAMN04244227,simple,10090,Mus musculus,GSM1930892,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-11m-1,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930862
SRR2927676,37416999,1870849950,50,1211,SRX1420721,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153749,SAMN04244228,simple,10090,Mus musculus,GSM1930893,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-11m-2,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930863
SRR2927677,39894335,1994716750,50,1291,SRX1420722,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065842,PRJNA301347,26621731,"",SRS1153747,SAMN04244229,simple,10090,Mus musculus,GSM1930894,GEO,SRA309945,12,2015,Sun,Spinal Cord,SC-G37R-11m-3,Oligodendrocyte,Spinal Cord,Onset,Non-Tg,male,GSM1930864
