Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,tissue
SRR18305254,29147204,1894568260,65,816,SRX14442770,GSM5949133,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249855,SAMN26585427,simple,9606,Homo sapiens,GSM5949133,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M002 DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305253,24628033,1600822145,65,739,SRX14442771,GSM5949134,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249856,SAMN26585426,simple,9606,Homo sapiens,GSM5949134,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M027 TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305252,25409020,1651586300,65,764,SRX14442772,GSM5949135,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249857,SAMN26585425,simple,9606,Homo sapiens,GSM5949135,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M027 TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305251,26867338,1746376970,65,814,SRX14442773,GSM5949144,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249858,SAMN26585416,simple,9606,Homo sapiens,GSM5949144,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305250,28981703,1883810695,65,876,SRX14442774,GSM5949145,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249859,SAMN26585415,simple,9606,Homo sapiens,GSM5949145,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M029R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305249,25748472,1673650680,65,717,SRX14442775,GSM5949146,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249860,SAMN26585414,simple,9606,Homo sapiens,GSM5949146,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M002 DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305248,33553340,2180967100,65,879,SRX14442776,GSM5949147,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249861,SAMN26585413,simple,9606,Homo sapiens,GSM5949147,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M048R TS Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305247,27551131,1790823515,65,731,SRX14442777,GSM5949148,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249862,SAMN26585412,simple,9606,Homo sapiens,GSM5949148,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M048R TS IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
SRR18305246,24019205,1561248325,65,632,SRX14442778,GSM5949149,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249863,SAMN26585411,simple,9606,Homo sapiens,GSM5949149,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M048R DP Untreated,Patient derived xenograft (PDX) established low passage cell lines,Untreated,Patient tumor material
SRR18305245,26303894,1709753110,65,688,SRX14442779,GSM5949150,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP363636,PRJNA815336,36812891,"",SRS12249864,SAMN26585410,simple,9606,Homo sapiens,GSM5949150,Netherlands Cancer Institute,SRA1385476,01,2023,Kenski,Patient derived xenograft (PDX) established low passage cell lines,M048R DP IFNg_24h,Patient derived xenograft (PDX) established low passage cell lines,IFNg_24h,Patient tumor material
