Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,tissue/cell type,replicate,GEO Accession
SRR1944968,16294211,509137655,31,353,SRX971736,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886746,SAMN03450649,simple,4932,Saccharomyces cerevisiae,GSM1646071,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_empty_plasmid,ncs2?_ribo_empty_plasmid_rep3,ncs2?_ribo_empty_plasmid,BY4741,ncs2-delta,Whole cells,3,GSM1646071
SRR1944969,7865151,238892480,30,164,SRX971737,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886745,SAMN03450690,simple,4932,Saccharomyces cerevisiae,GSM1646072,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_empty_plasmid,elp6?_ribo_empty_plasmid_rep1,elp6?_ribo_empty_plasmid,BY4741,elp6-delta,Whole cells,1,GSM1646072
SRR1944970,15299282,461273013,30,325,SRX971738,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886751,SAMN03450627,simple,4932,Saccharomyces cerevisiae,GSM1646073,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_empty_plasmid,elp6?_ribo_empty_plasmid_rep2,elp6?_ribo_empty_plasmid,BY4741,elp6-delta,Whole cells,2,GSM1646073
SRR1944971,25726778,776783242,30,542,SRX971739,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886744,SAMN03450692,simple,4932,Saccharomyces cerevisiae,GSM1646074,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_empty_plasmid,elp6?_ribo_empty_plasmid_rep3,elp6?_ribo_empty_plasmid,BY4741,elp6-delta,Whole cells,3,GSM1646074
SRR1944972,21873322,686580705,31,473,SRX971740,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886743,SAMN03450651,simple,4932,Saccharomyces cerevisiae,GSM1646075,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_tEKQ,WT_ribo_tEKQ_rep1,WT_ribo_tEKQ,BY4741,wild-type,Whole cells,1,GSM1646075
SRR1944973,22148194,693717805,31,481,SRX971741,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886741,SAMN03450663,simple,4932,Saccharomyces cerevisiae,GSM1646076,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_tEKQ,WT_ribo_tEKQ_rep2,WT_ribo_tEKQ,BY4741,wild-type,Whole cells,2,GSM1646076
SRR1944974,14882329,464842135,31,323,SRX971742,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886742,SAMN03450632,simple,4932,Saccharomyces cerevisiae,GSM1646077,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_tEKQ,WT_ribo_tEKQ_rep3,WT_ribo_tEKQ,BY4741,wild-type,Whole cells,3,GSM1646077
SRR1944975,11921107,363342077,30,250,SRX971743,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886739,SAMN03450689,simple,4932,Saccharomyces cerevisiae,GSM1646078,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_tEKQ,ncs2?_ribo_tEKQ_rep1,ncs2?_ribo_tEKQ,BY4741,ncs2-delta,Whole cells,1,GSM1646078
SRR1944976,17430822,545563587,31,393,SRX971744,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886738,SAMN03450658,simple,4932,Saccharomyces cerevisiae,GSM1646079,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_tEKQ,ncs2?_ribo_tEKQ_rep2,ncs2?_ribo_tEKQ,BY4741,ncs2-delta,Whole cells,2,GSM1646079
SRR1944977,19278040,603384768,31,434,SRX971745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886740,SAMN03450668,simple,4932,Saccharomyces cerevisiae,GSM1646080,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_tEKQ,ncs2?_ribo_tEKQ_rep3,ncs2?_ribo_tEKQ,BY4741,ncs2-delta,Whole cells,3,GSM1646080
SRR1944978,17133451,519199695,30,356,SRX971746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886737,SAMN03450641,simple,4932,Saccharomyces cerevisiae,GSM1646081,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_tEKQ,elp6?_ribo_tEKQ_rep1,elp6?_ribo_tEKQ,BY4741,elp6-delta,Whole cells,1,GSM1646081
SRR1944979,40491503,1216625176,30,855,SRX971747,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886736,SAMN03450638,simple,4932,Saccharomyces cerevisiae,GSM1646082,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_tEKQ,elp6?_ribo_tEKQ_rep2,elp6?_ribo_tEKQ,BY4741,elp6-delta,Whole cells,2,GSM1646082
SRR1944980,20302158,611247477,30,430,SRX971748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886734,SAMN03450633,simple,4932,Saccharomyces cerevisiae,GSM1646083,GEO,SRA249088,06,2015,Nedialkova,elp6?_ribo_tEKQ,elp6?_ribo_tEKQ_rep3,elp6?_ribo_tEKQ,BY4741,elp6-delta,Whole cells,3,GSM1646083
SRR1944981,27554640,841816717,30,631,SRX971749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886735,SAMN03450616,simple,4932,Saccharomyces cerevisiae,GSM1646084,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_YPD_noCHX,WT_ribo_YPD_noCHX_rep1,WT_ribo_YPD_noCHX,BY4741,ncs2-delta,Whole cells,1,GSM1646084
SRR1944982,24185766,738736738,30,546,SRX971750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886733,SAMN03450634,simple,4932,Saccharomyces cerevisiae,GSM1646085,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_YPD_noCHX,WT_ribo_YPD_noCHX_rep2,WT_ribo_YPD_noCHX,BY4741,ncs2-delta,Whole cells,2,GSM1646085
SRR1944983,24852461,755518986,30,559,SRX971751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886731,SAMN03450653,simple,4932,Saccharomyces cerevisiae,GSM1646086,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_YPD_noCHX,WT_ribo_YPD_noCHX_rep3,WT_ribo_YPD_noCHX,BY4741,ncs2-delta,Whole cells,3,GSM1646086
SRR1944984,33131925,1009823572,30,749,SRX971752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886732,SAMN03450608,simple,4932,Saccharomyces cerevisiae,GSM1646087,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_YPD_noCHX,ncs2?_ribo_YPD_noCHX_rep1,ncs2?_ribo_YPD_noCHX,BY4741,ncs2-delta,Whole cells,1,GSM1646087
SRR1944985,24862035,761888305,30,569,SRX971753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886730,SAMN03450681,simple,4932,Saccharomyces cerevisiae,GSM1646088,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_YPD_noCHX,ncs2?_ribo_YPD_noCHX_rep2,ncs2?_ribo_YPD_noCHX,BY4741,ncs2-delta,Whole cells,2,GSM1646088
SRR1944986,30238345,927033972,30,691,SRX971754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886729,SAMN03450631,simple,4932,Saccharomyces cerevisiae,GSM1646089,GEO,SRA249088,06,2015,Nedialkova,ncs2?_ribo_YPD_noCHX,ncs2?_ribo_YPD_noCHX_rep3,ncs2?_ribo_YPD_noCHX,BY4741,ncs2-delta,Whole cells,3,GSM1646089
SRR1944987,5157425,155111036,30,110,SRX971755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886727,SAMN03450610,simple,4932,Saccharomyces cerevisiae,GSM1646090,GEO,SRA249088,06,2015,Nedialkova,hbs1?_ribo_YPD,hbs1?_ribo_YPD_rep1,hbs1?_ribo_YPD,BY4741,hbs1-delta,Whole cells,1,GSM1646090
SRR1944988,31017570,946227287,30,673,SRX971756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886728,SAMN03450661,simple,4932,Saccharomyces cerevisiae,GSM1646091,GEO,SRA249088,06,2015,Nedialkova,hbs1?_ribo_YPD,hbs1?_ribo_YPD_rep2,hbs1?_ribo_YPD,BY4741,hbs1-delta,Whole cells,2,GSM1646091
SRR1944989,25640547,775368368,30,571,SRX971757,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886725,SAMN03450664,simple,4932,Saccharomyces cerevisiae,GSM1646092,GEO,SRA249088,06,2015,Nedialkova,hbs1?_ribo_YPD,hbs1?_ribo_YPD_rep3,hbs1?_ribo_YPD,BY4741,hbs1-delta,Whole cells,3,GSM1646092
SRR1944990,18522847,574673629,31,408,SRX971758,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886726,SAMN03450656,simple,4932,Saccharomyces cerevisiae,GSM1646093,GEO,SRA249088,06,2015,Nedialkova,hbs1?ncs2?elp6?_ribo_YPD,hbs1?ncs2?elp6?_ribo_YPD_rep1,hbs1?ncs2?elp6?_ribo_YPD,BY4741,hbs1-delta ncs2-delta elp6-delta,Whole cells,1,GSM1646093
SRR1944991,17675011,547813030,30,391,SRX971759,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886724,SAMN03450612,simple,4932,Saccharomyces cerevisiae,GSM1646094,GEO,SRA249088,06,2015,Nedialkova,hbs1?ncs2?elp6?_ribo_YPD,hbs1?ncs2?elp6?_ribo_YPD_rep2,hbs1?ncs2?elp6?_ribo_YPD,BY4741,hbs1-delta ncs2-delta elp6-delta,Whole cells,2,GSM1646094
SRR1944992,21756331,661893170,30,488,SRX971760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886723,SAMN03450637,simple,4932,Saccharomyces cerevisiae,GSM1646095,GEO,SRA249088,06,2015,Nedialkova,hbs1?ncs2?elp6?_ribo_YPD,hbs1?ncs2?elp6?_ribo_YPD_rep3,hbs1?ncs2?elp6?_ribo_YPD,BY4741,hbs1-delta ncs2-delta elp6-delta,Whole cells,3,GSM1646095
SRR1944993,14979681,449713788,30,319,SRX971761,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886721,SAMN03450677,simple,4932,Saccharomyces cerevisiae,GSM1646096,GEO,SRA249088,06,2015,Nedialkova,dom34?ncs2?elp6?_ribo_YPD,dom34?ncs2?elp6?_ribo_YPD_rep1,dom34?ncs2?elp6?_ribo_YPD,BY4741,dom34-delta ncs2-delta elp6-delta,Whole cells,1,GSM1646096
SRR1944994,24446709,749423832,30,531,SRX971762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886722,SAMN03450650,simple,4932,Saccharomyces cerevisiae,GSM1646097,GEO,SRA249088,06,2015,Nedialkova,dom34?ncs2?elp6?_ribo_YPD,dom34?ncs2?elp6?_ribo_YPD_rep2,dom34?ncs2?elp6?_ribo_YPD,BY4741,dom34-delta ncs2-delta elp6-delta,Whole cells,2,GSM1646097
SRR1944995,27909322,863685492,30,636,SRX971763,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886719,SAMN03450657,simple,4932,Saccharomyces cerevisiae,GSM1646098,GEO,SRA249088,06,2015,Nedialkova,dom34?ncs2?elp6?_ribo_YPD,dom34?ncs2?elp6?_ribo_YPD_rep3,dom34?ncs2?elp6?_ribo_YPD,BY4741,dom34-delta ncs2-delta elp6-delta,Whole cells,3,GSM1646098
SRR1944996,18136118,567631279,31,407,SRX971764,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886718,SAMN03450676,simple,4932,Saccharomyces cerevisiae,GSM1646099,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_paromomycin,WT_ribo_paromomycin_rep1,WT_ribo_paromomycin,BY4741,wild-type,Whole cells,1,GSM1646099
SRR1944997,21594355,675013520,31,493,SRX971765,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886717,SAMN03450609,simple,4932,Saccharomyces cerevisiae,GSM1646100,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_paromomycin,WT_ribo_paromomycin_rep2,WT_ribo_paromomycin,BY4741,wild-type,Whole cells,2,GSM1646100
SRR1944998,23129075,721212812,31,514,SRX971766,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886720,SAMN03450666,simple,4932,Saccharomyces cerevisiae,GSM1646101,GEO,SRA249088,06,2015,Nedialkova,WT_ribo_paromomycin,WT_ribo_paromomycin_rep3,WT_ribo_paromomycin,BY4741,wild-type,Whole cells,3,GSM1646101
SRR1944999,28230699,880733586,31,639,SRX971767,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886715,SAMN03450655,simple,4932,Saccharomyces cerevisiae,GSM1646102,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_ribo_paromomycin,ncs2?elp6?_ribo_paromomycin_rep1,ncs2?elp6?_ribo_paromomycin,BY4741,ncs2-delta elp6-delta,Whole cells,1,GSM1646102
SRR1945000,18134196,561093140,30,410,SRX971768,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886716,SAMN03450623,simple,4932,Saccharomyces cerevisiae,GSM1646103,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_ribo_paromomycin,ncs2?elp6?_ribo_paromomycin_rep2,ncs2?elp6?_ribo_paromomycin,BY4741,ncs2-delta elp6-delta,Whole cells,2,GSM1646103
SRR1945001,32837073,1007342091,30,734,SRX971769,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886714,SAMN03450611,simple,4932,Saccharomyces cerevisiae,GSM1646104,GEO,SRA249088,06,2015,Nedialkova,ncs2?elp6?_ribo_paromomycin,ncs2?elp6?_ribo_paromomycin_rep3,ncs2?elp6?_ribo_paromomycin,BY4741,ncs2-delta elp6-delta,Whole cells,3,GSM1646104
SRR1945002,44431539,1394180604,31,1044,SRX971770,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886713,SAMN03450607,simple,6239,Caenorhabditis elegans,GSM1646105,GEO,SRA249088,06,2015,Nedialkova,N2_L4_ribo,N2_L4_ribo_rep1,N2_L4_ribo,N2,wild-type,Whole animals,1,GSM1646105
SRR1945003,27016372,812474293,30,545,SRX971771,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886712,SAMN03450654,simple,6239,Caenorhabditis elegans,GSM1646106,GEO,SRA249088,06,2015,Nedialkova,N2_L4_ribo,N2_L4_ribo_rep2,N2_L4_ribo,N2,wild-type,Whole animals,2,GSM1646106
SRR1945004,23677484,740497699,31,554,SRX971772,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886711,SAMN03450694,simple,6239,Caenorhabditis elegans,GSM1646107,GEO,SRA249088,06,2015,Nedialkova,tut-1_L4_ribo,tut-1_L4_ribo_rep1,tut-1_L4_ribo,N2,tut-1(tm1297),Whole animals,1,GSM1646107
SRR1945005,27850343,859692879,30,593,SRX971773,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886710,SAMN03450672,simple,6239,Caenorhabditis elegans,GSM1646108,GEO,SRA249088,06,2015,Nedialkova,tut-1_L4_ribo,tut-1_L4_ribo_rep2,tut-1_L4_ribo,N2,tut-1(tm1297),Whole animals,2,GSM1646108
SRR1945006,54884430,2744221500,50,1787,SRX971774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886709,SAMN03450626,simple,6239,Caenorhabditis elegans,GSM1646109,GEO,SRA249088,06,2015,Nedialkova,N2_adult_mRNA,N2_adult_mRNA_rep1,N2_adult_mRNA,N2,wild-type (N2),Whole animals,1,GSM1646109
SRR1945007,56595407,2829770350,50,1835,SRX971775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886708,SAMN03450625,simple,6239,Caenorhabditis elegans,GSM1646110,GEO,SRA249088,06,2015,Nedialkova,N2_adult_mRNA,N2_adult_mRNA_rep2,N2_adult_mRNA,N2,wild-type (N2),Whole animals,2,GSM1646110
SRR1945008,54317439,2715871950,50,1770,SRX971776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886707,SAMN03450613,simple,6239,Caenorhabditis elegans,GSM1646111,GEO,SRA249088,06,2015,Nedialkova,tut-1_elpc-1_adult_mRNA,tut-1_elpc-1_adult_mRNA_rep1,tut-1_elpc-1_adult_mRNA,N2,"tut-1(tm1297), elpc-1(tm2149)",Whole animals,1,GSM1646111
SRR1945009,41833573,2091678650,50,1358,SRX971777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP056647,PRJNA279785,26052047,"",SRS886706,SAMN03450683,simple,6239,Caenorhabditis elegans,GSM1646112,GEO,SRA249088,06,2015,Nedialkova,tut-1_elpc-1_adult_mRNA,tut-1_elpc-1_adult_mRNA_rep2,tut-1_elpc-1_adult_mRNA,N2,"tut-1(tm1297), elpc-1(tm2149)",Whole animals,2,GSM1646112
