Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,growth phase,treatment,GEO Accession
SRR13150157,11967980,945470420,79,334,SRX9590403,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794901,SAMN16926575,simple,580240,Saccharomyces cerevisiae W303,GSM4946353,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3-15A, polyA RNA",EV7 mRNA-Seq r0 puf3-15A replicate 1,"W303-1A, r0 puf3-15A, polyA RNA",W303-1A,puf3-15A rho0,mid-log phase,None,GSM4946353
SRR13150158,11314816,893870464,79,317,SRX9590404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794902,SAMN16926574,simple,580240,Saccharomyces cerevisiae W303,GSM4946354,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3-15A, polyA RNA",EV7 mRNA-Seq r0 puf3-15A replicate 2,"W303-1A, r0 puf3-15A, polyA RNA",W303-1A,puf3-15A rho0,mid-log phase,None,GSM4946354
SRR13150159,10502456,829694024,79,292,SRX9590405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794904,SAMN16926573,simple,580240,Saccharomyces cerevisiae W303,GSM4946355,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3-15A, polyA RNA",EV7 mRNA-Seq r0 puf3-15A replicate 3,"W303-1A, r0 puf3-15A, polyA RNA",W303-1A,puf3-15A rho0,mid-log phase,None,GSM4946355
SRR13150160,11940629,943309691,79,350,SRX9590406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794905,SAMN16926605,simple,580240,Saccharomyces cerevisiae W303,GSM4946356,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV8 mRNA-Seq WT replicate 1,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946356
SRR13150161,11175648,882876192,79,328,SRX9590407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794903,SAMN16926604,simple,580240,Saccharomyces cerevisiae W303,GSM4946357,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV8 mRNA-Seq WT replicate 2,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946357
SRR13150162,10603723,837694117,79,317,SRX9590408,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794906,SAMN16926603,simple,580240,Saccharomyces cerevisiae W303,GSM4946358,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV8 mRNA-Seq WT replicate 3,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946358
SRR13150163,11343925,896170075,79,333,SRX9590409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794907,SAMN16926602,simple,580240,Saccharomyces cerevisiae W303,GSM4946359,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D, polyA RNA",EV8 mRNA-Seq snf1D replicate 1,"W303-1A, snf1D, polyA RNA",W303-1A,snf1,mid-log phase,None,GSM4946359
SRR13150164,10721598,847006242,79,315,SRX9590410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794908,SAMN16926601,simple,580240,Saccharomyces cerevisiae W303,GSM4946360,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D, polyA RNA",EV8 mRNA-Seq snf1D replicate 2,"W303-1A, snf1D, polyA RNA",W303-1A,snf1,mid-log phase,None,GSM4946360
SRR13150165,12342793,975080647,79,363,SRX9590411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794909,SAMN16926600,simple,580240,Saccharomyces cerevisiae W303,GSM4946361,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D, polyA RNA",EV8 mRNA-Seq snf1D replicate 3,"W303-1A, snf1D, polyA RNA",W303-1A,snf1,mid-log phase,None,GSM4946361
SRR13150166,12397862,979431098,79,365,SRX9590412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794910,SAMN16926599,simple,580240,Saccharomyces cerevisiae W303,GSM4946362,GEO,SRA1164140,11,2020,Liu,"W303-1A, EB treatment, polyA RNA",EV8 mRNA-Seq EB treatment replicate 1,"W303-1A, EB treatment, polyA RNA",W303-1A,WT,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946362
SRR13150167,14293047,1129150713,79,419,SRX9590413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794911,SAMN16926598,simple,580240,Saccharomyces cerevisiae W303,GSM4946363,GEO,SRA1164140,11,2020,Liu,"W303-1A, EB treatment, polyA RNA",EV8 mRNA-Seq EB treatment replicate 2,"W303-1A, EB treatment, polyA RNA",W303-1A,WT,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946363
SRR13150168,13681456,1080835024,79,403,SRX9590414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794912,SAMN16926597,simple,580240,Saccharomyces cerevisiae W303,GSM4946364,GEO,SRA1164140,11,2020,Liu,"W303-1A, EB treatment, polyA RNA",EV8 mRNA-Seq EB treatment replicate 3,"W303-1A, EB treatment, polyA RNA",W303-1A,WT,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946364
SRR13150169,11739534,927423186,79,345,SRX9590415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794913,SAMN16926596,simple,580240,Saccharomyces cerevisiae W303,GSM4946365,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D EB treatment, polyA RNA",EV8 mRNA-Seq snf1D EB treatment replicate 1,"W303-1A, snf1D EB treatment, polyA RNA",W303-1A,snf1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946365
SRR13150170,12620750,997039250,79,373,SRX9590416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794914,SAMN16926595,simple,580240,Saccharomyces cerevisiae W303,GSM4946366,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D EB treatment, polyA RNA",EV8 mRNA-Seq snf1D EB treatment replicate 2,"W303-1A, snf1D EB treatment, polyA RNA",W303-1A,snf1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946366
SRR13150171,11664378,921485862,79,343,SRX9590417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794915,SAMN16926594,simple,580240,Saccharomyces cerevisiae W303,GSM4946367,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D EB treatment, polyA RNA",EV8 mRNA-Seq snf1D EB treatment replicate 3,"W303-1A, snf1D EB treatment, polyA RNA",W303-1A,snf1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946367
SRR13150172,27401656,2137329168,78,986,SRX9590418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794916,SAMN16926593,simple,580240,Saccharomyces cerevisiae W303,GSM4946368,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D EB treatment, polyA RNA",EV9 mRNA-Seq snf1D EB treatment replicate 1,"W303-1A, snf1D EB treatment, polyA RNA",W303-1A,snf1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946368
SRR13150173,30605667,2387242026,78,1099,SRX9590419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794917,SAMN16926592,simple,580240,Saccharomyces cerevisiae W303,GSM4946369,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D EB treatment, polyA RNA",EV9 mRNA-Seq snf1D EB treatment replicate 2,"W303-1A, snf1D EB treatment, polyA RNA",W303-1A,snf1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946369
SRR13150174,59240149,4443011175,75,1694,SRX9590420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794918,SAMN16926591,simple,580240,Saccharomyces cerevisiae W303,GSM4946370,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D EB treatment, polyA RNA",EV9 mRNA-Seq snf1D EB treatment replicate 3,"W303-1A, snf1D EB treatment, polyA RNA",W303-1A,snf1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946370
SRR13150175,17474580,1380491820,79,501,SRX9590421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794919,SAMN16926590,simple,580240,Saccharomyces cerevisiae W303,GSM4946371,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D mig1D EB treatment, polyA RNA",EV9 mRNA-Seq snf1D mig1D EB treatment replicate 1,"W303-1A, snf1D mig1D EB treatment, polyA RNA",W303-1A,snf1 mig1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946371
SRR13150176,58656147,4399211025,75,1656,SRX9590422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794920,SAMN16926589,simple,580240,Saccharomyces cerevisiae W303,GSM4946372,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D mig1D EB treatment, polyA RNA",EV9 mRNA-Seq snf1D mig1D EB treatment replicate 2,"W303-1A, snf1D mig1D EB treatment, polyA RNA",W303-1A,snf1 mig1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946372
SRR13150177,18262121,1442707559,79,526,SRX9590423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794921,SAMN16926618,simple,580240,Saccharomyces cerevisiae W303,GSM4946373,GEO,SRA1164140,11,2020,Liu,"W303-1A, snf1D mig1D EB treatment, polyA RNA",EV9 mRNA-Seq snf1D mig1D EB treatment replicate 3,"W303-1A, snf1D mig1D EB treatment, polyA RNA",W303-1A,snf1 mig1,mid-log phase,"25 µg/ml Ethidium Bromide, 48 hour",GSM4946373
SRR13150178,13014767,663753117,51,252,SRX9590424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794922,SAMN16926617,simple,580240,Saccharomyces cerevisiae W303,GSM4946374,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV10 mRNA-Seq WT replicate 1,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946374
SRR13150179,14073975,717772725,51,272,SRX9590425,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794923,SAMN16926616,simple,580240,Saccharomyces cerevisiae W303,GSM4946375,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV10 mRNA-Seq WT replicate 2,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946375
SRR13150180,15017394,765887094,51,293,SRX9590426,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794924,SAMN16926615,simple,580240,Saccharomyces cerevisiae W303,GSM4946376,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV10 mRNA-Seq WT replicate 3,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946376
SRR13150181,14536951,741384501,51,281,SRX9590427,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794925,SAMN16926614,simple,580240,Saccharomyces cerevisiae W303,GSM4946377,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV10 mRNA-Seq r0 replicate 1,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946377
SRR13150182,15987325,815353575,51,309,SRX9590428,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794927,SAMN16926613,simple,580240,Saccharomyces cerevisiae W303,GSM4946378,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV10 mRNA-Seq r0 replicate 2,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946378
SRR13150183,14297717,729183567,51,277,SRX9590429,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794926,SAMN16926612,simple,580240,Saccharomyces cerevisiae W303,GSM4946379,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV10 mRNA-Seq r0 replicate 3,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946379
SRR13150184,17135549,873912999,51,332,SRX9590430,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794928,SAMN16926611,simple,580240,Saccharomyces cerevisiae W303,GSM4946380,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 CUP1p-INH1, polyA RNA",EV10 mRNA-Seq r0 CUP1p-INH1 replicate 1,"W303-1A, r0 CUP1p-INH1, polyA RNA",W303-1A,rho0 CUP1p-INH1,mid-log phase,None,GSM4946380
SRR13150185,17778493,906703143,51,344,SRX9590431,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794929,SAMN16926610,simple,580240,Saccharomyces cerevisiae W303,GSM4946381,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 CUP1p-INH1, polyA RNA",EV10 mRNA-Seq r0 CUP1p-INH1 replicate 2,"W303-1A, r0 CUP1p-INH1, polyA RNA",W303-1A,rho0 CUP1p-INH1,mid-log phase,None,GSM4946381
SRR13150186,12838220,654749220,51,248,SRX9590432,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794932,SAMN16926609,simple,580240,Saccharomyces cerevisiae W303,GSM4946382,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 CUP1p-INH1, polyA RNA",EV10 mRNA-Seq r0 CUP1p-INH1 replicate 3,"W303-1A, r0 CUP1p-INH1, polyA RNA",W303-1A,rho0 CUP1p-INH1,mid-log phase,None,GSM4946382
SRR13150187,12602819,642743769,51,244,SRX9590433,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794931,SAMN16926608,simple,580240,Saccharomyces cerevisiae W303,GSM4946383,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 CUP1p-INH1+Cu2+, polyA RNA",EV10 mRNA-Seq r0 CUP1p-INH1+Cu2+ replicate 1,"W303-1A, r0 CUP1p-INH1+Cu2+, polyA RNA",W303-1A,rho0 CUP1p-INH1,mid-log phase,10mM CuSO4 12 hour,GSM4946383
SRR13150188,11446200,583756200,51,222,SRX9590434,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794930,SAMN16926607,simple,580240,Saccharomyces cerevisiae W303,GSM4946384,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 CUP1p-INH1+Cu2+, polyA RNA",EV10 mRNA-Seq r0 CUP1p-INH1+Cu2+ replicate 2,"W303-1A, r0 CUP1p-INH1+Cu2+, polyA RNA",W303-1A,rho0 CUP1p-INH1,mid-log phase,10mM CuSO4 12 hour,GSM4946384
SRR13150189,12909141,658366191,51,250,SRX9590435,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794933,SAMN16926606,simple,580240,Saccharomyces cerevisiae W303,GSM4946385,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 CUP1p-INH1+Cu2+, polyA RNA",EV10 mRNA-Seq r0 CUP1p-INH1+Cu2+ replicate 3,"W303-1A, r0 CUP1p-INH1+Cu2+, polyA RNA",W303-1A,rho0 CUP1p-INH1,mid-log phase,10mM CuSO4 12 hour,GSM4946385
