Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,replicate,sirna treatment,GEO Accession
SRR1257237,56071156,2803557800,50,1848,SRX522469,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594824,SAMN02730059,simple,9606,Homo sapiens,GSM1371455,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT00_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371455
SRR1257238,36688749,1834437450,50,1323,SRX522470,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594825,SAMN02730063,simple,9606,Homo sapiens,GSM1371456,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT02_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371456
SRR1257239,54598639,2729931950,50,1877,SRX522471,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594826,SAMN02730004,simple,9606,Homo sapiens,GSM1371457,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT04_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371457
SRR1257240,80517676,4025883800,50,2875,SRX522472,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594827,SAMN02730007,simple,9606,Homo sapiens,GSM1371458,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT06_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371458
SRR1257241,57243353,2862167650,50,1891,SRX522473,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594828,SAMN02730006,simple,9606,Homo sapiens,GSM1371459,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT08_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371459
SRR1257242,63679523,3183976150,50,2198,SRX522474,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594829,SAMN02730009,simple,9606,Homo sapiens,GSM1371460,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT10_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371460
SRR1257243,42552146,2127607300,50,1534,SRX522475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594830,SAMN02730011,simple,9606,Homo sapiens,GSM1371461,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT12_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371461
SRR1257244,65054967,3252748350,50,2143,SRX522476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594831,SAMN02730012,simple,9606,Homo sapiens,GSM1371462,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT14_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371462
SRR1257245,55899368,2794968400,50,1930,SRX522477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594832,SAMN02730010,simple,9606,Homo sapiens,GSM1371463,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT16_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371463
SRR1257246,64758993,3237949650,50,2320,SRX522478,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594833,SAMN02730014,simple,9606,Homo sapiens,GSM1371464,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT18_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371464
SRR1257247,60896904,3044845200,50,2025,SRX522479,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594834,SAMN02730018,simple,9606,Homo sapiens,GSM1371465,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT20_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371465
SRR1257248,50176171,2508808550,50,1744,SRX522480,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594835,SAMN02730013,simple,9606,Homo sapiens,GSM1371466,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_ribo_profile_CT22_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,None,GSM1371466
SRR1257249,40851520,2042576000,50,1313,SRX522481,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594836,SAMN02730015,simple,9606,Homo sapiens,GSM1371467,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT00_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371467
SRR1257250,51091304,2554565200,50,1637,SRX522482,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594837,SAMN02730019,simple,9606,Homo sapiens,GSM1371468,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT02_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371468
SRR1257251,48192260,2409613000,50,1485,SRX522483,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594838,SAMN02730017,simple,9606,Homo sapiens,GSM1371469,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT04_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371469
SRR1257252,56710731,2835536550,50,1820,SRX522484,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594839,SAMN02730016,simple,9606,Homo sapiens,GSM1371470,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT06_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371470
SRR1257253,52344217,2617210850,50,1679,SRX522485,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594840,SAMN02730022,simple,9606,Homo sapiens,GSM1371471,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT08_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371471
SRR1257254,51218178,2560908900,50,1598,SRX522486,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594841,SAMN02730020,simple,9606,Homo sapiens,GSM1371472,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT10_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371472
SRR1257255,50429899,2521494950,50,1614,SRX522487,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594842,SAMN02730023,simple,9606,Homo sapiens,GSM1371473,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT12_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371473
SRR1257256,53013772,2650688600,50,1695,SRX522488,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594843,SAMN02730024,simple,9606,Homo sapiens,GSM1371474,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT14_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371474
SRR1257257,50932709,2546635450,50,1574,SRX522489,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594844,SAMN02730021,simple,9606,Homo sapiens,GSM1371475,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT16_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371475
SRR1257258,56023360,2801168000,50,1818,SRX522490,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594845,SAMN02730025,simple,9606,Homo sapiens,GSM1371476,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT18_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371476
SRR1257259,55754389,2787719450,50,1806,SRX522491,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594846,SAMN02730026,simple,9606,Homo sapiens,GSM1371477,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT20_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371477
SRR1257260,44205031,2210251550,50,1389,SRX522492,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594847,SAMN02730028,simple,9606,Homo sapiens,GSM1371478,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT22_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,Bmal1 siRNA,GSM1371478
SRR1257261,51085679,2554283950,50,1633,SRX522493,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594848,SAMN02730029,simple,9606,Homo sapiens,GSM1371479,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT00_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371479
SRR1257262,49883060,2494153000,50,1567,SRX522494,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594849,SAMN02730027,simple,9606,Homo sapiens,GSM1371480,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT02_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371480
SRR1257263,37681824,1884091200,50,1181,SRX522495,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594850,SAMN02730034,simple,9606,Homo sapiens,GSM1371481,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT04_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371481
SRR1257264,40849027,2042451350,50,1302,SRX522496,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594851,SAMN02730033,simple,9606,Homo sapiens,GSM1371482,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT06_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371482
SRR1257265,55125506,2756275300,50,1728,SRX522497,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594852,SAMN02730000,simple,9606,Homo sapiens,GSM1371483,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT08_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371483
SRR1257266,49337683,2466884150,50,1551,SRX522498,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594853,SAMN02730003,simple,9606,Homo sapiens,GSM1371484,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT10_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371484
SRR1257267,55397176,2769858800,50,1762,SRX522499,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594854,SAMN02730035,simple,9606,Homo sapiens,GSM1371485,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT12_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371485
SRR1257268,57944953,2897247650,50,1809,SRX522500,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594855,SAMN02730030,simple,9606,Homo sapiens,GSM1371486,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT14_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371486
SRR1257269,60786042,3039302100,50,1892,SRX522501,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594856,SAMN02730001,simple,9606,Homo sapiens,GSM1371487,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT16_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371487
SRR1257270,55445664,2772283200,50,1756,SRX522502,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594857,SAMN02729999,simple,9606,Homo sapiens,GSM1371488,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT18_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371488
SRR1257271,36120358,1806017900,50,1136,SRX522503,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594858,SAMN02729997,simple,9606,Homo sapiens,GSM1371489,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT20_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371489
SRR1257272,51812192,2590609600,50,1635,SRX522504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594859,SAMN02729998,simple,9606,Homo sapiens,GSM1371490,GEO,SRA158793,08,2015,Jang,U2-OS Cells,Bmal1_kd_ribo_profile_CT22_rep2,U2-OS Cells,osteosarcoma,U2-OS,2,Bmal1 siRNA,GSM1371490
