Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,RNA source,Submitter Id,broker name,fraction,library,replicate,sample name,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: fraction,Experimental Factor: protocol
ERR10323191,23078490,2330927490,101,655,ERX9855543,untreated.rep1.ribo.80s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545797,SAMEA111452399,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452399,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.ribo.80s.libA,2023-01-20,2023-01-20,SAMEA111452399,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep1.ribo.80s.libA,ArrayExpress,80s,A,1,E-MTAB-12264:untreated.rep1.ribo.80s.libA,none,,80s,TCP-seq
ERR10323192,11652613,1176913913,101,348,ERX9855544,untreated.rep1.ribo.80s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545798,SAMEA111452400,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452400,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.ribo.80s.libB,2023-01-20,2023-01-20,SAMEA111452400,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep1.ribo.80s.libB,ArrayExpress,80s,B,1,E-MTAB-12264:untreated.rep1.ribo.80s.libB,none,,80s,TCP-seq
ERR10323193,9623349,971958249,101,294,ERX9855545,untreated.rep1.ribo.80s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545799,SAMEA111452401,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452401,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.ribo.80s.libC,2023-01-20,2023-01-20,SAMEA111452401,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep1.ribo.80s.libC,ArrayExpress,80s,C,1,E-MTAB-12264:untreated.rep1.ribo.80s.libC,none,,80s,TCP-seq
ERR10323194,10011810,1011192810,101,300,ERX9855546,untreated.rep1.ribo.80s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545800,SAMEA111452402,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452402,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.ribo.80s.libD,2023-01-20,2023-01-20,SAMEA111452402,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep1.ribo.80s.libD,ArrayExpress,80s,D,1,E-MTAB-12264:untreated.rep1.ribo.80s.libD,none,,80s,TCP-seq
ERR10323216,27572029,2757202900,50,843,ERX9855547,untreated.rep1.rna_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545801,SAMEA111452403,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452403,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep1.rna,2023-01-20,2023-01-20,SAMEA111452403,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,rRNA_depleted_total_RNA,E-MTAB-12264:untreated.rep1.rna,ArrayExpress,,,1,E-MTAB-12264:untreated.rep1.rna,none,,not applicable,total RNA-seq
ERR10323195,22478261,2270304361,101,752,ERX9855548,untreated.rep2.ribo.40s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545802,SAMEA111452404,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452404,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.40s.libA,2023-01-20,2023-01-20,SAMEA111452404,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.40s.libA,ArrayExpress,40s,A,2,E-MTAB-12264:untreated.rep2.ribo.40s.libA,none,,40s,TCP-seq
ERR10323196,21751852,2196937052,101,720,ERX9855549,untreated.rep2.ribo.40s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545803,SAMEA111452405,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452405,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.40s.libB,2023-01-20,2023-01-20,SAMEA111452405,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.40s.libB,ArrayExpress,40s,B,2,E-MTAB-12264:untreated.rep2.ribo.40s.libB,none,,40s,TCP-seq
ERR10323197,9959313,1005890613,101,334,ERX9855550,untreated.rep2.ribo.40s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545804,SAMEA111452406,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452406,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.40s.libC,2023-01-20,2023-01-20,SAMEA111452406,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.40s.libC,ArrayExpress,40s,C,2,E-MTAB-12264:untreated.rep2.ribo.40s.libC,none,,40s,TCP-seq
ERR10323198,22900358,2312936158,101,704,ERX9855551,untreated.rep2.ribo.40s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545805,SAMEA111452407,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452407,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.40s.libD,2023-01-20,2023-01-20,SAMEA111452407,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.40s.libD,ArrayExpress,40s,D,2,E-MTAB-12264:untreated.rep2.ribo.40s.libD,none,,40s,TCP-seq
ERR10323199,17130906,1730221506,101,502,ERX9855552,untreated.rep2.ribo.40s.libE_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545806,SAMEA111452408,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452408,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.40s.libE,2023-01-20,2023-01-20,SAMEA111452408,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.40s.libE,ArrayExpress,40s,E,2,E-MTAB-12264:untreated.rep2.ribo.40s.libE,none,,40s,TCP-seq
ERR10323200,22040381,2226078481,101,642,ERX9855553,untreated.rep2.ribo.40s.libF_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545807,SAMEA111452409,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452409,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.40s.libF,2023-01-20,2023-01-20,SAMEA111452409,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.40s.libF,ArrayExpress,40s,F,2,E-MTAB-12264:untreated.rep2.ribo.40s.libF,none,,40s,TCP-seq
ERR10323201,12336690,1246005690,101,409,ERX9855554,untreated.rep2.ribo.80s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545808,SAMEA111452410,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452410,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.80s.libA,2023-01-20,2023-01-20,SAMEA111452410,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:33Z,2023-01-20T20:30:33Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.80s.libA,ArrayExpress,80s,A,2,E-MTAB-12264:untreated.rep2.ribo.80s.libA,none,,80s,TCP-seq
ERR10323202,6743223,681065523,101,225,ERX9855555,untreated.rep2.ribo.80s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545809,SAMEA111452411,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452411,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.80s.libB,2023-01-20,2023-01-20,SAMEA111452411,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.80s.libB,ArrayExpress,80s,B,2,E-MTAB-12264:untreated.rep2.ribo.80s.libB,none,,80s,TCP-seq
ERR10323203,15004064,1515410464,101,499,ERX9855556,untreated.rep2.ribo.80s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545810,SAMEA111452412,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452412,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.80s.libC,2023-01-20,2023-01-20,SAMEA111452412,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.80s.libC,ArrayExpress,80s,C,2,E-MTAB-12264:untreated.rep2.ribo.80s.libC,none,,80s,TCP-seq
ERR10323204,17413518,1758765318,101,509,ERX9855557,untreated.rep2.ribo.80s.libD_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545811,SAMEA111452413,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452413,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.80s.libD,2023-01-20,2023-01-20,SAMEA111452413,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.80s.libD,ArrayExpress,80s,D,2,E-MTAB-12264:untreated.rep2.ribo.80s.libD,none,,80s,TCP-seq
ERR10323205,13593841,1372977941,101,404,ERX9855558,untreated.rep2.ribo.80s.libE_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545812,SAMEA111452414,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452414,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.80s.libE,2023-01-20,2023-01-20,SAMEA111452414,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.80s.libE,ArrayExpress,80s,E,2,E-MTAB-12264:untreated.rep2.ribo.80s.libE,none,,80s,TCP-seq
ERR10323206,19233736,1942607336,101,564,ERX9855559,untreated.rep2.ribo.80s.libF_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545813,SAMEA111452415,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452415,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.ribo.80s.libF,2023-01-20,2023-01-20,SAMEA111452415,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep2.ribo.80s.libF,ArrayExpress,80s,F,2,E-MTAB-12264:untreated.rep2.ribo.80s.libF,none,,80s,TCP-seq
ERR10323217,24517132,2451713200,50,751,ERX9855560,untreated.rep2.rna_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545814,SAMEA111452416,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452416,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep2.rna,2023-01-20,2023-01-20,SAMEA111452416,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,rRNA_depleted_total_RNA,E-MTAB-12264:untreated.rep2.rna,ArrayExpress,,,2,E-MTAB-12264:untreated.rep2.rna,none,,not applicable,total RNA-seq
ERR10323207,19224427,1941667127,101,561,ERX9855561,untreated.rep3.ribo.40s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545815,SAMEA111452417,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452417,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.ribo.40s.libA,2023-01-20,2023-01-20,SAMEA111452417,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep3.ribo.40s.libA,ArrayExpress,40s,A,3,E-MTAB-12264:untreated.rep3.ribo.40s.libA,none,,40s,TCP-seq
ERR10323208,17403660,1757769660,101,513,ERX9855562,untreated.rep3.ribo.40s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545816,SAMEA111452418,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452418,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.ribo.40s.libB,2023-01-20,2023-01-20,SAMEA111452418,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep3.ribo.40s.libB,ArrayExpress,40s,B,3,E-MTAB-12264:untreated.rep3.ribo.40s.libB,none,,40s,TCP-seq
ERR10323209,15920897,1608010597,101,478,ERX9855563,untreated.rep3.ribo.40s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545817,SAMEA111452419,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452419,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.ribo.40s.libC,2023-01-20,2023-01-20,SAMEA111452419,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep3.ribo.40s.libC,ArrayExpress,40s,C,3,E-MTAB-12264:untreated.rep3.ribo.40s.libC,none,,40s,TCP-seq
ERR10323210,15060474,1521107874,101,437,ERX9855564,untreated.rep3.ribo.80s.libA_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545818,SAMEA111452420,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452420,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.ribo.80s.libA,2023-01-20,2023-01-20,SAMEA111452420,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep3.ribo.80s.libA,ArrayExpress,80s,A,3,E-MTAB-12264:untreated.rep3.ribo.80s.libA,none,,80s,TCP-seq
ERR10323211,14790624,1493853024,101,435,ERX9855565,untreated.rep3.ribo.80s.libB_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545819,SAMEA111452421,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452421,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.ribo.80s.libB,2023-01-20,2023-01-20,SAMEA111452421,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep3.ribo.80s.libB,ArrayExpress,80s,B,3,E-MTAB-12264:untreated.rep3.ribo.80s.libB,none,,80s,TCP-seq
ERR10323212,10781746,1088956346,101,314,ERX9855566,untreated.rep3.ribo.80s.libC_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545820,SAMEA111452422,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452422,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.ribo.80s.libC,2023-01-20,2023-01-20,SAMEA111452422,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,RNase-protected-fragment,E-MTAB-12264:untreated.rep3.ribo.80s.libC,ArrayExpress,80s,C,3,E-MTAB-12264:untreated.rep3.ribo.80s.libC,none,,80s,TCP-seq
ERR10323218,14194179,1419417900,50,440,ERX9855567,untreated.rep3.rna_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,ERP141549,PRJEB56594,1,"",ERS13545821,SAMEA111452423,simple,284812,Schizosaccharomyces pombe 972h-,SAMEA111452423,"Department of Biochemistry University of Cambridge, UK",ERA18517134,01,2023,Makar,"",untreated.rep3.rna,2023-01-20,2023-01-20,SAMEA111452423,"Department of Biochemistry University of Cambridge, UK","Department of Biochemistry University of Cambridge, UK",2023-01-20T20:30:34Z,2023-01-20T20:30:34Z,public,rRNA_depleted_total_RNA,E-MTAB-12264:untreated.rep3.rna,ArrayExpress,,,3,E-MTAB-12264:untreated.rep3.rna,none,,not applicable,total RNA-seq
