Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,biomaterial_provider,cell_line,genetic_modification,growth_condition,biological_replicate
DRR277073,36213496,1846888296,51,575,DRX266657,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179371,SAMD00283277,simple,9606,Homo sapiens,SAMD00283277,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 2 arsenite,eIF2D KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,2
DRR277074,45756413,2333577063,51,726,DRX266658,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179371,SAMD00283277,simple,9606,Homo sapiens,SAMD00283277,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF2D KO HEK293T rep 2 arsenite,eIF2D KO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2D KO,Arsenite treatment,2
DRR277075,52748897,1313813926,24,572,DRX266659,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179372,SAMD00283278,simple,9606,Homo sapiens,SAMD00283278,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1 arsenite",eIF2A eIF2D DKO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,1
DRR277076,41284082,958241403,23,424,DRX266660,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179372,SAMD00283278,simple,9606,Homo sapiens,SAMD00283278,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1 arsenite",eIF2A eIF2D DKO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,1
DRR277077,46358486,2364282786,51,733,DRX266661,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179372,SAMD00283278,simple,9606,Homo sapiens,SAMD00283278,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1 arsenite",eIF2A eIF2D DKO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,1
DRR277078,33220207,1694230557,51,530,DRX266662,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179372,SAMD00283278,simple,9606,Homo sapiens,SAMD00283278,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 1 arsenite",eIF2A eIF2D DKO HEK293T rep 1 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,1
DRR277079,57490004,1435384011,24,615,DRX266663,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179373,SAMD00283279,simple,9606,Homo sapiens,SAMD00283279,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2 arsenite",eIF2A eIF2D DKO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,2
DRR277080,40422424,972992194,24,424,DRX266664,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179373,SAMD00283279,simple,9606,Homo sapiens,SAMD00283279,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2 arsenite",eIF2A eIF2D DKO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,2
DRR277081,39554247,2017266597,51,629,DRX266665,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179373,SAMD00283279,simple,9606,Homo sapiens,SAMD00283279,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2 arsenite",eIF2A eIF2D DKO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,2
DRR277082,45374368,2314092768,51,721,DRX266666,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179373,SAMD00283279,simple,9606,Homo sapiens,SAMD00283279,KYUSH-MIB,DRA011626,04,2021,Makar,"","eIF2A, eIF2D DKO HEK293T rep 2 arsenite",eIF2A eIF2D DKO HEK293T rep 2 arsenite,ATCC,HEK293T,eIF2A eIF2D DKO,Arsenite treatment,2
