Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,feeding,genotype,GEO Accession
SRR2535507,9280838,464041900,50,294,SRX1295259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094279,SAMN04122317,simple,10090,Mus musculus,GSM1897884,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897928
SRR2535508,9143372,466311972,51,295,SRX1295259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094279,SAMN04122317,simple,10090,Mus musculus,GSM1897884,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897929
SRR2535509,9226518,461325900,50,291,SRX1295259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094279,SAMN04122317,simple,10090,Mus musculus,GSM1897884,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897930
SRR2535510,9107898,464502798,51,294,SRX1295259,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094279,SAMN04122317,simple,10090,Mus musculus,GSM1897884,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT08_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897931
SRR2535511,10102034,505101700,50,324,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897932
SRR2535512,9810907,500356257,51,321,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897933
SRR2535513,10130698,506534900,50,325,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897934
SRR2535514,9721690,495806190,51,318,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897935
SRR2535515,10052842,502642100,50,324,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897936
SRR2535516,9844548,502071948,51,322,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897937
SRR2535517,9990747,499537350,50,320,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897938
SRR2535518,9792654,499425354,51,321,SRX1295260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094278,SAMN04122318,simple,10090,Mus musculus,GSM1897885,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT10_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Night restricted,Wild type,GSM1897939
SRR2535519,8961301,448065050,50,288,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897856
SRR2535520,8741358,445809258,51,287,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897857
SRR2535521,8991058,449552900,50,289,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897858
SRR2535522,8692490,443316990,51,285,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897859
SRR2535523,8898376,444918800,50,287,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897860
SRR2535524,8786956,448134756,51,289,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897861
SRR2535525,8850527,442526350,50,285,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897862
SRR2535526,8730004,445230204,51,286,SRX1295261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094277,SAMN04122319,simple,10090,Mus musculus,GSM1897886,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT12_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897863
SRR2535527,10458917,522945850,50,332,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897864
SRR2535528,10219905,521215155,51,331,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897865
SRR2535529,10486373,524318650,50,333,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897866
SRR2535530,10161924,518258124,51,329,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897867
SRR2535531,10400454,520022700,50,332,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897868
SRR2535532,10268286,523682586,51,333,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897869
SRR2535533,10344555,517227750,50,328,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897870
SRR2535534,10224394,521444094,51,331,SRX1295262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094276,SAMN04122320,simple,10090,Mus musculus,GSM1897887,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT14_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897871
SRR2535535,9057880,452894000,50,287,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897872
SRR2535536,8812162,449420262,51,285,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897873
SRR2535537,9073449,453672450,50,288,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897874
SRR2535538,8700107,443705457,51,281,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897875
SRR2535539,8945057,447252850,50,285,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897876
SRR2535540,8820098,449824998,51,286,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897877
SRR2535541,8940459,447022950,50,283,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897878
SRR2535542,8776413,447597063,51,284,SRX1295263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094275,SAMN04122321,simple,10090,Mus musculus,GSM1897888,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT16_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897879
SRR2535543,8849560,442478000,50,282,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897880
SRR2535544,8636236,440448036,51,281,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897881
SRR2535545,8870403,443520150,50,282,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897882
SRR2535546,8570119,437076069,,278,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897883
SRR2535547,8785735,439286750,50,281,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897884
SRR2535548,8670601,442200651,51,282,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897885
SRR2535549,8746910,437345500,50,279,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897886
SRR2535550,8620651,439653201,51,280,SRX1295264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094274,SAMN04122322,simple,10090,Mus musculus,GSM1897889,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT18_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897887
SRR2535551,7315057,373067907,51,239,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897888
SRR2535552,7439222,379400322,51,245,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897889
SRR2535553,7186121,366492171,51,235,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897890
SRR2535554,7218986,368168286,51,236,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897891
SRR2535555,7194442,366916542,51,235,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897892
SRR2535556,7192033,366793683,51,236,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897893
SRR2535557,7294639,372026589,51,238,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897894
SRR2535558,7153597,364833447,51,233,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897895
SRR2535559,7244717,369480567,51,238,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897896
SRR2535560,7359336,375326136,51,241,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897897
SRR2535561,7206897,367551747,51,235,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897898
SRR2535562,7232790,368872290,51,237,SRX1295265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094273,SAMN04121964,simple,10090,Mus musculus,GSM1897890,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT20_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897899
SRR2535563,9701259,485062950,50,305,SRX1295266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094272,SAMN04121965,simple,10090,Mus musculus,GSM1897891,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT22_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897900
SRR2535564,9454623,482185773,51,304,SRX1295266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094272,SAMN04121965,simple,10090,Mus musculus,GSM1897891,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT22_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897901
SRR2535565,9733010,486650500,50,306,SRX1295266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094272,SAMN04121965,simple,10090,Mus musculus,GSM1897891,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT22_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897902
SRR2535566,9346227,476657577,51,300,SRX1295266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094272,SAMN04121965,simple,10090,Mus musculus,GSM1897891,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT22_C_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897903
