Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,GEO Accession
SRR12109326,3713589,113241207,30,65,SRX8633372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920107,SAMN15399575,simple,9606,Homo sapiens,GSM4645477,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_98-21123_2,Tissue,Adult,GSM4645477
SRR12109327,8968001,270608656,30,156,SRX8633373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920108,SAMN15399574,simple,9606,Homo sapiens,GSM4645478,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult reactive_lymphnode_98-21123_3,Tissue,Adult,GSM4645478
SRR12109328,7853278,196356021,25,122,SRX8633374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920109,SAMN15399573,simple,9606,Homo sapiens,GSM4645479,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line RL_1,Cell line,DLBCL derived cell line,GSM4645479
SRR12109329,6207913,157572873,25,98,SRX8633375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920110,SAMN15399572,simple,9606,Homo sapiens,GSM4645480,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line RL_2,Cell line,DLBCL derived cell line,GSM4645480
SRR12109330,10252127,255876462,24,162,SRX8633376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920111,SAMN15399571,simple,9606,Homo sapiens,GSM4645481,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line RL_3,Cell line,DLBCL derived cell line,GSM4645481
SRR12109331,7617201,201467814,26,119,SRX8633377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920112,SAMN15399570,simple,9606,Homo sapiens,GSM4645482,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Skeletal_muscle_1,Tissue,Adult,GSM4645482
SRR12109332,10691931,283258878,26,168,SRX8633378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920113,SAMN15399611,simple,9606,Homo sapiens,GSM4645483,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Skeletal_muscle_2,Tissue,Adult,GSM4645483
SRR12109333,5831664,155102750,26,90,SRX8633379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920114,SAMN15399610,simple,9606,Homo sapiens,GSM4645484,GEO,SRA1092426,03,2021,Krogh,Tissue,Adult Skeletal_muscle_3,Tissue,Adult,GSM4645484
SRR12109334,8302598,202373581,24,128,SRX8633380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920115,SAMN15399609,simple,9606,Homo sapiens,GSM4645485,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line U2932_1,Cell line,DLBCL derived cell line,GSM4645485
SRR12109335,5431391,134690345,24,84,SRX8633381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920116,SAMN15399608,simple,9606,Homo sapiens,GSM4645486,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line U2932_2,Cell line,DLBCL derived cell line,GSM4645486
SRR12109336,6917451,170297106,24,108,SRX8633382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP269234,PRJNA642861,34316692,"",SRS6920117,SAMN15399607,simple,9606,Homo sapiens,GSM4645487,GEO,SRA1092426,03,2021,Krogh,Cell line,DLBCL derived cell line U2932_3,Cell line,DLBCL derived cell line,GSM4645487
