Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line/type,genotype,treatment,umi,molecule subtype,GEO Accession
SRR14323412,62375206,4740515656,76,1763,SRX10678539,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772333,SAMN18870220,simple,9606,Homo sapiens,GSM5264888,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_CAP-3_cytoRP,HEK293,HEK293,WT,"4 hours with 100 ug/mL of chloramphenicol (Sigma, CAT C3175)","5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264888
SRR14323413,73176171,5561388996,76,2104,SRX10678540,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772334,SAMN18870219,simple,9606,Homo sapiens,GSM5264889,GEO,SRA1223561,05,2021,Soto,HEK293,HEK_CAP-4_cytoRP,HEK293,HEK293,WT,"4 hours with 100 ug/mL of chloramphenicol (Sigma, CAT C3175)","5' 4 nt, 3' 10 nt",cytoribosome protected fragments,GSM5264889
SRR14323352,65719049,4002524651,60,1367,SRX10678541,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772335,SAMN18870180,simple,9606,Homo sapiens,GSM5264828,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast-2_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,untreated,"5' 0 nt, 3' 6 nt",mitoribosome protected fragments,GSM5264828
SRR14323353,31122418,2359072702,75,771,SRX10678542,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772336,SAMN18870179,simple,9606,Homo sapiens,GSM5264829,GEO,SRA1223561,05,2021,Soto,"Dermal fibroblasts, anonymous donor",Fibroblast-3_mitoRP,"Dermal fibroblasts, anonymous donor","Dermal fibroblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264829
SRR14323354,31761880,1994489941,62,702,SRX10678543,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772337,SAMN18870178,simple,9606,Homo sapiens,GSM5264830,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-1_mitoRP,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 6 nt",mitoribosome protected fragments,GSM5264830
SRR14323355,18086408,1136086139,62,400,SRX10678544,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772338,SAMN18870177,simple,9606,Homo sapiens,GSM5264831,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-2_mitoRP,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 6 nt",mitoribosome protected fragments,GSM5264831
SRR14323356,34735320,2628834795,75,821,SRX10678545,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772339,SAMN18870176,simple,9606,Homo sapiens,GSM5264832,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-7_mitoRP,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264832
SRR14323357,46327413,3505725438,75,1090,SRX10678546,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772340,SAMN18870175,simple,9606,Homo sapiens,GSM5264833,GEO,SRA1223561,05,2021,Soto,"Myoblasts, anonymous donor",Myoblast-8_mitoRP,"Myoblasts, anonymous donor","Myoblasts, anonymous donor",WT,untreated,"5' 4 nt, 3' 10 nt",mitoribosome protected fragments,GSM5264833
SRR14323358,20731056,1303568712,62,466,SRX10678547,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772341,SAMN18870174,simple,9606,Homo sapiens,GSM5264834,GEO,SRA1223561,05,2021,Soto,"Myocytes (Myoblasts, 2 days post-differentiation induction)",Myocyte-1_mitoRP,"Myocytes (Myoblasts, 2 days post-differentiation induction)","Myocytes (Myoblasts, 2 days post-differentiation induction)",WT,"treated with 0.4 ug/mL dexamethasone (Sigma, CAT D4902)","5' 4 nt, 3' 6 nt",mitoribosome protected fragments,GSM5264834
SRR14323359,23856586,1499743103,62,532,SRX10678548,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP316314,PRJNA725118,35945592,"",SRS8772342,SAMN18870173,simple,9606,Homo sapiens,GSM5264835,GEO,SRA1223561,05,2021,Soto,"Myocytes (Myoblasts, 2 days post-differentiation induction)",Myocyte-2_mitoRP,"Myocytes (Myoblasts, 2 days post-differentiation induction)","Myocytes (Myoblasts, 2 days post-differentiation induction)",WT,"treated with 0.4 ug/mL dexamethasone (Sigma, CAT D4902)","5' 4 nt, 3' 6 nt",mitoribosome protected fragments,GSM5264835
